title,rel_year,director,producer,studio,prc,cat,award,lc
The Manchurian Candidate,2004,J.Demme,,,prc,susp,,14th street city
That\\'s Entertainment III,1994,Haley,Daniel Melnick,MGM,bnw,musc,,14th street city movies
Kotch,1974,Lemmon,Richard C,MGM,bnw,musc,,14th street city movies
Stepkids,1991,J.M.Silver,Willie Hunt,TriStar,col,,H*,L.A. city
Jaws; the Revenge,1987,Szwarc,Timothy Burrill,Universal,deluxe,susp,H*,Mackinac Island island
Emmanuelle V,1987,Jaeckin,Yves Rousset-Rouard,Cannon,col,18+,,Cannes resort
Frank Lloyd Wright,1997,Burns,Edward Miller,PBS,duart,docu,AAN,NYC city csd mil.inst.
When We Were Kings,1997,Gast,Edward Miller,PBS,col,docu,AAN,NYC city csd mil.inst.
Louis Armstrong Chicago Style,1980,Phillips,Edward Miller,PBS,tv,dram,AAN,NYC city csd mil.inst.
La grande bourgoise,1974,Bolognini,Edward Miller,PBS,tv,dram,AAN,Bologna town
Le pull-over rouge,1974,Drach,Edward Miller,PBS,tv,biop,AAN,Bologna town
Die Drosse Flatter,1978,Ludcke,Edward Miller,Regina Ziegler Film,tv,dram,AAN,Berlin city
Flesh Gordon,1974,Light,Howard Ziem,Graffiti,col,18+,AAN,Berlin city
The Star Spangled Girl,1974,N.Simon,Howard Ziem,Graffiti,col,18+,AAN,Berlin city
Der Ehekaefig,1974,GranierDeferre,Howard Ziem,Graffiti,col,susp,AAN,Berlin city
Lemora; the Lady Dracula,1974,Blackburn,Robert Fern,Media Cinema,col,horr,AAN,Berlin city csd
Phase IV,1974,Bass,Paul B. Radin,Paramount,tcol,s.f.,,Berlin city csd desert
Lone Wolf McQuade,1983,S.Carver,Ralph Serpe,Orion,deluxe,west,,Berlin city csd desert bar
Eadward Muybridge; Zoopraxograher,1974,Andersen,Ralph Serpe,Orion,bnw,biop,,Stanford school
The Mangler,1995,T.Hooper,Yoram Globus,Cannon,tv,horr,,Stanford school csd town
The Treasure of Jamaica Reef,1974,V.Stone,Yoram Globus,Cannon,tv,horr,,Stanford school csd town
The Count of Monte Cristo,1974,Greene,Yoram Globus,Cannon,tv,horr,,Stanford school csd town
About a Woman Who ...,1974,Rainer,Yoram Globus,Cannon,tv,dram,,Stanford school csd town
The Phantom of Hollywood,1974,UnYear74,Yoram Globus,Cannon,tv,horr,,MGM backlot movies
Girlfriends,1978,Weill,Weill,Cannon,tv,romt,,MGM backlot movies
Black Bird,1975,Giler,Weill,Cannon,tv,romt,,MGM backlot movies
Man; Woman and Child,1983,Richards,Jerry~Bruckheimer,Gaylord,deluxe,dram,,MGM backlot movies desert
Chesty Anderson; U.S. Navy,1975,E.Forsyth,Jerry~Bruckheimer,Gaylord,deluxe,dram,,MGM backlot movies desert
At Play in the Field of the Lord,1990,Babenco,Saul Zaentz,Universal,col,docu,,Albany town csd
Cousin; Cousine,1975,Tacchella,Bertrand Javal,Gaumont,ecol,docu,H**,Albany town csd csd
The Rocky Horror Picture Show,1975,Sharman,Michael White,Fox ,col,,H**,Transsexual home space
Brokedown Palace,1999,J.Kaplan,Adam Fields,Fox,col,susp,H*,L.A. city
Cyrano de Bergerac,1991,Rappeneau,Adam Fields,Fox,col,advt,H*,L.A. city island
A Boy and His Dog,1975,L.Q.Jones,Adam Fields,Fox,col,advt,H*,L.A. city island
Love Butcher,1975,Angel,Mickey Belski,Mirror,col,horr,H*,L.A. city
The Happy Hooker,1975,Sgarro,Fred Caruso,Cannon,movielab,18+,,NYC city
Ceux qui m\\'aiment prendront le train,1998,Chereau,Fred Caruso,Cannon,movielab,romt,,Paris city train
Honey; I Blew Up the Kid,1992,Kleiser,Dawn Steele,Columbia,col,,,Las Vegas city
The Midnight Man,1975,Kibbee,Kibbee,Universal,col,,,Las Vegas city
Fear and Loathing in Las Vegas,1998,Gilliam,Patrick Cassavetti,UniversaL,col,dram,T90,NYC city
Twelfth Night,1996,Nunn,Peter Snell,Paramount,tcol,biop,,NYC city palace
Geronimo: An American Legend,1993,W.Hill,Neil Canton,Universal,col,biop,,S.F. city work csd
Tom Horn,1975,Wiard,Fred Weintraub,Warners,tcol,biop,,S.F. city work csd
Moses,1975,deBosio,Fred Weintraub,Warners,tcol,biop,,S.F. city work csd
Afterglow,1997,Rudolph,Robert Altaman,Sony,col,romt,,Montreal city
American Dream,1992,Kopple,Robert Altaman,Sony,col,docu,,Montreal city work work
Mahogany,1976,Gordy,Jack Ballard,Paramount,col,,,Montreal city work work
One Tough Cop,1998,B.Barreto,L.C. Barreto,Carnaval,ecol,cnr,,Montreal city work work town
Double Jeopardy,1999,Beresford,L.F.Zanuck,Paramount,col,susp,AA,Atlanta city csd
Cop and a Half,1992,B.Reynolds,L.F.Zanuck,Paramount,tv,cnr,AA,Atlanta city csd
La Dentelliere,1981,Goretta,L.F.Zanuck,Paramount,tv,,AA,Atlanta city csd work
Eat My Dust!,1976,C.Griffith,Jon Davison,NWP,tv,actn,,Atlanta city csd work town
Gumball Rally,1976,Bail,DFasvid Barber,Columbia,tcol,actn,,Atlanta city csd work town roads
Sidewalk Stories,1989,Lane,DFasvid Barber,Columbia,bnw,dram,Palm,Atlanta city csd work town roads
The Accompanist,1993,C.Miller,DFasvid Barber,Columbia,bnw,dram,Palm,Paris city
L\'Ombre des Chateaux,1976,Duval,DFasvid Barber,Columbia,bnw,dram,Palm,Paris city
Rulers of the City,1980,DiLeo,DFasvid Barber,Columbia,bnw,dram,Palm,Paris city
In the Blood,1989,G.Butler,DFasvid Barber,Columbia,bnw,docu,Palm,Paris city sports csd
The Bitch,1979,OHara,Brent Walker,Columbia,col,advt,,London city
Thieves,1976,Gardner,Brent Walker,Columbia,col,advt,,NYC city
Brainscan,1994,J.Flynn,Brent Walker,AIP,col,actn,,NYC city town
The Great Smokey Roadblock,1976,J.Leone,Allan F. Bodon,Marvista,col,advt,,NYC city town csd
Forced Vengance,1982,Fargo,Robert Daley,Warners,deluxe,actn,,Hong Kong city
Creature from Black Lake,1976,Houck,Robert Daley,Warners,deluxe,actn,,Hong Kong city
Small Soldiers,1998,Dante,Michael Finnell,Universal,col,advt,,Key West resort
Spies; Lies; and Naked Thighs,1986,Frawley,Pat Henson,Paramount,col,,,United Nations work
Hick Chick,1993,Carlino,Quimby,MGM,col,dram,,United Nations work airplane town
The River Niger,1976,Shah,Quimby,MGM,col,dram,,United Nations work airplane town
Mohammad; Messenger of God,1976,Akkad,Quimby,MGM,col,biop,,Arabia
The Object of Beauty,1991,LindsayHogg,Robert Enders,Consolidated,col,romt,H*,Geneva city hotel
The Loneliest Runner,1976,M.Landon,M.Landon,Consolidated,tv,romt,H*,Geneva city hotel
Street People,1976,Lucidi,M.Landon,Consolidated,col,actn,,S.F. city
National Lampoon\\'s Class Reunion,1982,M.Miller,Marty Simmons,ABC,mcol,,,Lizzie Borden school
Livin\\' Large!,1991,Schultz,Hannah Weinstein,Third World,movielab,,,Lizzie Borden school csd
Ode to Billy Joe,1976,Baer,Hannah Weinstein,Third World,movielab,dram,,Lizzie Borden school csd
It Rained All Night the Day I Left,1983,Gessner,Hannah Weinstein,Third World,movielab,dram,,Lizzie Borden school csd
To the Devil...A Daughter,1976,Sykes,Hannah Weinstein,Third World,movielab,dram,,Lizzie Borden school csd
Chapter Two,1979,R.Moore,Margaret Booth,Columbia,mcol,dram,H*,Lizzie Borden school csd estate
I; The Jury,1982,Heffron,Robert Solo,American Cinema,col,actn,,Lizzie Borden school csd estate work
A Beautiful Mind,2001,R.Howard,Howard,,col,biop,AAN,S.F. city
Penetration,1976,Montero,Mishkin,,col,18+,AAN,S.F. city
Sparkle,1976,OSteen,Mishkin,,col,biop,,S.F. city
The Philadelphia Experiment,1984,Raffill,Douglas Curtis,New World,col,s.f.,H*,S.F. city ship
Uncommon Valor,1983,Kotcheff,Buzz Feitshans,Paramount,movielab,actn,,Hope town
The Manitou,1978,Girdler,Melvin Simon,Film Ventures Int.,col,horr,,Hope town
Buena Vista Social Club,,Wenders,Anatole Dauman,Miramax,col,musc,AAN,Havana city
The Manhattan Project,1986,Unknown34,Anatole Dauman,Miramax,col,docu,AAN,Los Alomos town sea
The Last Dinosaur,1977,Grasshoff,Jules Bass,Miramax,tv,s.f.,AAN,North Pole sea
Golden Rendezvous,1977,A.Lazarus,Milton Okun,Film Trust,col,actn,,North Pole sea ship
Alice; Sweet Alice,1977,Sole,Milton Okun,Film Trust,col,actn,,North Pole sea ship
Nightjohn,1997,Burnett,Danny Glover,Film Trust,col,,,L.A. city estate
Tango,1998,Saura,Emiliano Piedra,Television Espanola,col,dram,H**,Madrid city
Cauchemares,1977,Matalon,Nicole Mathieu Boisvert,21st Century,ecol,horr,H**,Madrid city
The Chicken Chronicles,1977,F.Simon,Nicole Mathieu Boisvert,Avco,col,dram,,Madrid city
Cannonball Run II,1984,H.Needham,Mort Engeberg,Warners,tcol,actn,,Madrid city csd town
Goliathon,1977,Gaugh,Rumme Shaw,World Northal,col,advt,,Madrid city csd town
You Light Up My Life,1977,Joe~Brooks,Rumme Shaw,World Northal,col,romt,,Madrid city csd town
The Cookies,1977,Seria,Rumme Shaw,World Northal,col,romt,,Madrid city csd town
Wolf,1994,J.Nicholson,Harold Schneider,Columbia,col,horr,,Chinatown city
Saint Maybe,1998,M.Pressman,Howard C. Koch,Hallmark,tv,dram,,Whittier Boulevard town ship ship
Stand Up Virgin Soldiers,1977,N.Cohen,Greg Smith,Warners,tcol,,,Whittier Boulevard town ship ship city
Tentacles,1977,O.Hellman,E.F. Doria,Esse Cinematografica,tcol,,,Whittier Boulevard town ship ship city
Outrageous,1977,Benner,E.F. Doria,Esse Cinematografica,col,romt,,Whittier Boulevard town ship ship city
Guyana; Cult of the Dammned,1980,Cardona,Cardona,Universal,col,horr,,Andes mountains resort
Thirteen Days,2001,Donaldson,Armyan Bernstein,Universal,bnw,dram,,White House palace mil.inst.
One Trick Pony,1980,R.M.Young,Michael Tannen,Universal,col,musc,,White House palace mil.inst. jail
Family Enforcer,1977,R.DeVito,Michael Tannen,Universal,col,musc,,White House palace mil.inst. jail
The Disappearance,1977,S.Cooper,David Hemmings,Tiberius ,ecol,susp,,White House palace mil.inst. jail
A Certain Sacrifice,1981,Lewicki,David Hemmings,Tiberius ,ecol,18+,,White House palace mil.inst. jail
For the Love of the Game,1999,Raimi,Bruce Campbell,Paramount,col,,,White House palace mil.inst. jail csd csd
Sinbad and the Eye of the Tiger,1977,Wanamaker,Ray Harrthausen,Columbia,mcol,advt,,White House palace mil.inst. jail csd csd
The Wishing Tree,1977,Abduladze,Ray Harrthausen,Columbia,mcol,dram,,White House palace mil.inst. jail csd csd csd
I-Omante,1977,Himena,Ray Harrthausen,Columbia,mcol,dram,,White House palace mil.inst. jail csd csd csd
Joanne D\\'Arc of Mongolia,1989,Ottinger,Ray Harrthausen,Columbia,col,advt,,Freak City town train csd
Happy Hooker Goes to Washington,1977,Levey,Ray Harrthausen,Columbia,col,18+,,Washington city
Galaxina,1980,Sachs,Marylin J. Tenser,Crown,col,,,Washington city
Dracula\\'s Dog,1978,Bano,Frank Ray Perilli,Crown,col,horr,,Washington city csd
First Family,1980,Henry,Frank Ray Perilli,Crown,col,,,Washington city csd afterife
Any Which Way You Can,1980,vanHorn,Frank Ray Perilli,Warners,col,,,Washington city csd afterife
The Evictors,1979,C.B.Pierce,C.B.Pierce,AIP,movielab,horr,,Washington city csd afterife
Avalanche,1978,C.Allen,Corman,New World,mcol,,,Washington city csd afterife resort
The Tool Box Murders,1978,Donnelly,Tony Didio,Delected,col,18+,,Washington city csd afterife resort home
Blue,1994,Jarman,Joseph Kane,Fine Line,col,,H*,London city
Mulholland Drive,,D.Lynch,R.DeLaurentiis,DeLaurentiis,col,,AAN,Hollywood city
Ice Castles,1978,Wrye,John Kemeny,Columbia,mcol,romt,,Hollywood city sports
Mr. Death,1999,E.Morris,John Kemeny,Triton,col,biop,,Dallas city
Once in Paris,1978,Gilroy,Gilroy,Triton,tv,romt,,Paris city
L\\'Elegant Criminel,1990,Girod,Ariel Zeitman,RKO,tv,,,Paris city
American Hot Wax,1978,Mutrux,Art Linson,Paramount,mcol,biop,,Paris city
Babe: Pig in the City,1998,Geo.Miller,John Peters,Universal,col,,,NYC city
Killer Tomatoes Eat France,1991,deBello,deBello,NAI,col,,,NYC city
The Dark,1979,Cardos,deBello,Film Ventures Int.,col,horr,,NYC city
The Time Machine,1978,Schallerup,James Simmons,Sunn Classics,tv,s.f.,,NYC city
My Girl 2,1994,Zieff,Joe Wizan,Columbia,bnw,,H**,baseball fields sports
Deathsport,1978,Suso,Corman,New World,mcol,horr,,baseball fields sports
Titanic,1997,J.Cameron,Ray Santini,Fox,col,dram,AAN,L.A. city space sea sea
Return Engagement,1978,J.Hardy,Ray Santini,Fox,col,dram,AAN,L.A. city space sea sea
Two Girls and a Guy,1998,Toback,Joseph Kanter,MGM-U.A.,col,,,L.A. city space sea sea
Jeanne d\\'Arc,2000,Besson,Joseph Kanter,Gaumont,col,dram,,NYC city csd
Affliction,1999,Schrader,Gianni Quaranta,Universal,col,dram,,Venice city town
Up the Creek,1984,R.Butler,Gianni Quaranta,Columbia,col,,,NYC city river
The Clonus Horror,1978,Fiveson,Gianni Quaranta,Columbia,col,s.f.,,NYC city river
The Wicker Man,1978,R.Hardy,Peter Snell,British Lion,ecol,horr,H*,Summerisle island
The Mountain Men,1980,R.Lang,Peter Snell,British Lion,ecol,horr,H*,Summerisle island
Thank God it\'s Friday,1978,Klane,Peter Snell,British Lion,ecol,horr,H*,Summerisle island
Stevie,1978,Enders,Enders,First Artists,tcol,biop,H*,London city
Blackhawk Down,2001,R.Scott,R.Scott,Universal,col,actn,AAN,Mogadishu city
Under the Rainbow,1981,Rash,Fred Bauer,ECA,col,biop,,Lubbock town
Cheech and Chong\\'s The Corsican Brothers,1984,Chong,Howard Brown,Universal,tcol,,,Lubbock town
Riddle of the Sands,1978,Maylam,Drummond Challis,Rank,ecol,advt,H*,Lubbock town ship
Guns and Fury,1982,Zarindast,Drummond Challis,Rank,ecol,advt,H*,Lubbock town ship
The Secret Life of Plants,1978,W.Green,Drummond Challis,Rank,col,docu,H*,Lubbock town ship csd
Bulworth,1998,Beatty,Beatty,Touchstone,col,,H**,L.A. city city
Rabbit Test,1978,UnYear78,Beatty,Touchstone,col,,H**,L.A. city city
Betsy\\'s Wedding,1990,Alda,Louis A. Stroller,Touchstone,col,,,L.A. city city resort town
Heartbeeps,1981,Arkush,Louis A. Stroller,Touchstone,col,s.f.,,L.A. city city resort town school
The Muse,1998,A.Brooks,Mart Katz,Warners,col,,,Las Vegas city town csd afterlife
Tous Les Matins Du Monde,1992,Corneau,Mart Katz,Gaumont,col,biop,,Versailles palace
Smokey and the Hotwire Gang,1979,Cardoza,Mart Katz,Gaumont,col,biop,,Versailles palace
Cloud Dancer,1979,Ba.Brown,Mart Katz,Gaumont,col,biop,,Versailles palace airplane
North Avenue Irregulars,1979,Bilson,Mart Katz,Disney,tcol,,,Versailles palace airplane
More American Graffiti,1979,Norton,G.Lucas,Universal,tcol,,,Versailles palace airplane
Eye of the Eagle III,1990,Santiago,Christopher R. Santiago,New Horizons,col,actn,,Versailles palace airplane mil.inst.
Hot Stuff,1979,DeLuise,Christopher R. Santiago,Rastar,mcol,cnr,,Versailles palace airplane mil.inst.
The Secret Passion of Robert Clayton,1992,Swackhammer,Gregory Hoblit,USA,col,dram,,S.F. city town
When a Stranger Calls,1979,Walton,Melvin Simon,U.A.,col,susp,,S.F. city town
Oscar and Lucinda,1996,Armstrong,Jan Chapman,Fine Line Features,col,romt,,S.F. city town home home town
Mercury Rising,1998,H.Becker,Becker,NewLine,col,cnr,,NYC city city
Mountain Family Robinson,1979,Cotter,Becker,NewLine,col,advt,,NYC city city csd
Last Tattoo,1994,Reid,Becker,NewLine,col,susp,,NYC city city csd
Penitentiary,1979,Fanaka,Becker,NewLine,col,susp,,NYC city city csd jail
Meet Joe Black,1998,Brest,Brest,Universal,col,dram,H*,NYC school city
Hussy,1979,Ma.Chapman,Brest,Boyd\\'s company,ecol,dram,,NYC school city
Mean Dog Blues,1979,M.Stuart,Brest,Boyd\\'s company,ecol,dram,,NYC school city
Collateral,2004,M.Mann,Howard W. Koch~jr.,Buena Vista,prc,noir,AAN,L.A. city
Amazon Women on the Moon,1989,M.Lester,Tom Holland,Buena Vista,tv,s.f.,,Manhattan city town space space
The Dragonslayer,1981,Robbins,Hal Barwood,Disney,mcol,,,Manhattan city town space space
Tales from the Vienna Woods,1979,Schell,Hal Barwood,Disney,mcol,dram,,Vienna city
Star Trek; Generations,1994,N.Meyer,Rick Berman,Paramount,col,s.f.,,S.F. city city space space space
A Force of One,1979,Aaron,Rick Berman,Paramount,col,s.f.,,S.F. city city space space space
Walk on the Moon,1985,R.D.Silver,R.D.Silver,Midwest Films,bnw,s.f.,,S.F. city city space space space
Mr.~Mom,1983,Dragoti,Aaron Spelling,Sherwood,mcol,,,NYC city
A Shining Season,1979,Margolin,Aaron Spelling,Sherwood,mcol,,,NYC city
Rocky IV,1985,Stallone,Chartoff,MGM-U.A.,mcol,dram,,Philadelphia city
The Odd Angry Shot,1979,Jeffrey,Chartoff,MGM-U.A.,mcol,dram,,Philadelphia city
Personal Services,1987,T.Jones,John Goldstone,Universal,tcol,biop,,Philadelphia city
Lensman,1979,Kawajiri,John Goldstone,Kodansha,col,s.f.,,Philadelphia city space
A Night in the Life of Jimmy Reardon,1985,Richert,Russel Schwartz,Fox,col,,,Chicago city
The Wild Life,1984,Linson,Russel Schwartz,Universal,col,,,Chicago city school
The Gunslinger,1980,Ascot,Russel Schwartz,Universal,col,,,Chicago city school
Tatoo,1980,B.Brooks,Levine,Universal,tcol,,,Chicago city school
Lifepod,1980,Bryant,Levine,Universal,tcol,,,Chicago city school
Wilma,1980,Greenspan,Levine,Universal,tcol,,,Chicago city school
Nutcracker; the Motion Picture,1989,C.Ballard,Levine,Universal,tcol,musc,,Arctic sea
L\\'etudiante,1988,Pinoteau,Levine,Gaumont,tcol,romt,,Arctic sea
Le Conte de Monte Christo,1980,delaPatelliere,Levine,Gaumont,tv,dram,,Arctic sea
Silent Scream,1980,D.Harris,Levine,Gaumont,col,horr,,Arctic sea school
Naked Massacre,1980,Heroux,Levine,Gaumont,col,horr,,Arctic sea school
C.H.U.D. II; Bud the Chud,1984,Irving,Jonathan D. Kramer,Vestron,col,horr,,Arctic sea school
Bin Ich schoen?,1998,Dorrie,Jonathan D. Kramer,Cobra,col,,,Arctic sea school
The Fan,1980,Bianchi,Robert Stigwood,Filmways,tcol,susp,,NYC city
Nemesis,1992,Karsen,Alan Schecter,Imperial,col,actn,,L.A. slum
Gad Girls from Mars,1990,F.O.Ray,Alan Schecter,Imperial,col,18+,,Beverly Hills city
The Assault,1980,Rademakers,Rademakers,Imperial,col,dram,AA,Beverly Hills city
My Tutor,1983,Bowers,Rademakers,Crown,deluxe,,,Beverly Hills city
The Forbidden Dance,1990,G.Clark,Menahem Golem,Century,deluxe,musc,,Hollywood csd town
From Hell to Victory,1980,Peppard,Menahem Golem,Century,deluxe,musc,,Hollywood csd town
Don\\'t Look Back,1996,G.Murphy,x Rosenblatt ,Alphaville,col,s.f.,,Hollywood csd town resort movies
The Kidnapping of the President,1980,Mendelux,John Ryan,Sefel ,deluxe,susp,H*,Toronto city
Get Crazy,1983,G.Nelson,G.Nelson,Disney,col,,,Toronto city
Take this Job and Shove it,1981,Trikonis,G.Nelson,Disney,col,dram,,Toronto city
Wholly Moses,1980,Weis,G.Nelson,Disney,col,dram,,Toronto city
Analyze This,1999,Ramis,Jane Rosenthal,Warners,col,,,Punxsutawney csd
Friday the 13th ... The Orphan,1980,J.Ballard,Jane Rosenthal,World Northal,col,horr,,Punxsutawney csd
The Razor\\'s Edge,1984,Byrum,Harry Bent,Columbia,col,dram,,S.F. city csd
Gideon\\'s Trumpet,1980,Houseman,Harry Bent,Columbia,col,dram,,S.F. city csd
The Long Good Friday,1980,Mackenzie,Barry Hanson,Black Lion,col,actn,H*,East End town
A Month by the Lake,1996,Irvin,Eva Monley,Miramax,ecol,romt,H*,Lake Como resort
Loophole,1980,Quested,David Korda,Brent Walker,col,advt,,London city
Best Boy,1980,Wohl,Wohl,Brent Walker,col,docu,,London city
Limbo,1999,Sayles,Wohl,Brent Walker,col,dram,,Hudson City town estate island
Middle-age Crazy,1980,Trent,Sid Kroft,Tormont,deluxe,dram,,Hudson City town estate island
Die Laughing,1980,J.Werner,Sid Kroft,Tormont,tcol,advt,,Hudson City town estate island
The Protector,1990,Glickenhaus,David Chan,Golden,col,actn,,South Bronx slum
Hot Shots! Part Deux,1993,Abrahams,J.Abrahams,Paramount,col,,,South Bronx slum airplane town airplane
The Competition,1980,Oliansky,J.Abrahams,Paramount,col,dram,,S.F. city
Phone Booth,2002,Schumacher,Peter McGregorSmith,Fox,prc,susp,,NYC city
Borderline,1980,Freedman,Martin Stanger,ITC,col,advt,,NYC city
Hide in Plain Sight,1980,Caan,Rick Rosenberg,MGM,mcol,dram,,NYC city
Seems Like Old Times,1980,J.Sandrich,Rick Rosenberg,MGM,mcol,dram,,NYC city
Tokyo Decadence,1980,Murkami,Ed Carlin,New World,col,18+,H*,NYC city space
Earth Girls Are Easy,1989,Temple,Tony Garnett,Vestron,col,musc,H*,NYC city space
The Mango Tree,1980,Dobson,Tony Garnett,Vestron,col,musc,H*,NYC city space
Eyes of a Stranger,1980,Wiederhorn,Tony Garnett,Vestron,col,horr,,NYC city space
Stuckey\\'s Last Stand,1980,Goldfarb,Tony Garnett,Vestron,col,horr,,NYC city space
Terraces,1980,Garrett,Tony Garnett,Vestron,col,horr,,NYC city space
Hey; I\\'m Alive,1980,Schiller,Tony Garnett,Vestron,col,horr,,NYC city space
The Oak,1991,Pintilie,Tony Garnett,Vestron,col,,,NYC city space
Flash Gordon,1980,Hodges,deLaurentiis,Universal ,col,s.f.,,NYC city space
Hero at Large,1980,M.Davidson,Stephen Freedman,MGM,mcol,dram,,NYC city space
The Manhattan Project,1985,M.Brickman,Ferren,Fox,tcol,romt,H*,NYC town city
Yellowbeard,1983,Damski,Carter deHaven~jr,Orion,deluxe,west,,NYC town city
Paper Wedding,1989,Brault,Carter deHaven~jr,Orion,deluxe,west,,NYC town city
Donnie Brasco,1997,Newell,Duncan Kenworthy,Polygram ,col,dram,,Liverpool city
Union City,1980,Reichert,Duncan Kenworthy,Polygram ,col,dram,,Liverpool city
Through the Wire,1980,Rosenbloom,Duncan Kenworthy,Polygram ,col,docu,,Liverpool city
Todo sobre mi madre,1999,Almodovar,Augustin Almodovar,Miramax,col,dram,AAN,Barcelona city
Hugh Heffner: Once Upon A Time,1992,Haggard,Bregman,Aribage,col,docu,,Chicago city
Cross Country,1983,P.Lynch,Bregman,Filmline,col,susp,,Chicago city school
Touch and Go,1980,P.Maxwell,Bregman,Filmline,col,susp,,Chicago city school
Take It To The Limit,1980,Starr,Bregman,Filmline,col,susp,,Chicago city school
Massacre at Central High,1980,Daalder,Bregman,Filmline,col,susp,,Chicago city school
Gettysburg,1993,R.Maxwell,R.Maxwell,Turner,col,hist,,Gettysburgh mil.inst.
Forgotten Prisoners,1980,R.Greenwald,Steve McGlothan,Turner,tv,docu,,Istanbul city city
Carny,1980,Kaylor,Robbie Robertson,Lorimar,tcol,,,Istanbul city city
Fire in the Sky,1993,Lieberman,Lieberman,Paramount,col,s.f.,,NYC city csd
Caged Fear,1990,Houston,Gregory Vaugn,Paramount,col,actn,,NYC city csd jail
Anna to the Infinite Power,1983,Wiemer,Gregory Vaugn,Paramount,col,s.f.,,NYC city csd jail
The Horse Whisperer,1998,Redford,Redford,Buena Vista,col,west,AAN,NYC city csd jail csd movies csd
How to Beat the High Cost of Living,1980,Scheerer,Redford,Filmways,movielab,,,NYC city csd jail csd movies csd
Tomorrow Never Dies,1997,Spottiswoode,Barbara Broccolli,HBO,col,actn,H*,Washington city city city
The Adventures of Tin Tin: The Lure of Black Gold,1990,Bernasconi,X Newman,Ellipse,col,,H*,Washington city city city
Hotel Deutschland,1991,Stf.Paul,X Newman,Arsenal,col,musc,H*,Berlin city city
Mad Dog,1980,Grieco,X Newman,Arsenal,col,musc,H*,Berlin city city
Red Rose White Rose,1995,Kwan,X Newman,Arsenal,col,dram,H*,NYC city
Spring Break,1983,Cunningham,Cunningham,NewLine,col,horr,H*,Crystal Lake school
Brussels Transit,1980,Szlingerbaum,Cunningham,NewLine,col,horr,H*,Crystal Lake school
Falling in Love Again,1980,Stv.Paul,Stv.Paul,International Picture Show of Atlanta,col,romt,H*,NYC city
The Devils Advocate,1997,Hackford,Jerry Brick,Columbia,col,,AA,Siberia csd law
A Home of Our Own,1993,Bill,Jerry Brick,Columbia,col,dram,AA,Hankston city town
McVicar,1980,Clegg,Jerry Brick,The Who Films,ecol,dram,,Hankston city town
The Adventures of Picasso,1980,Danielson,Jerry Brick,Svenska ord,col,,,Hankston city town
Sylvester,1991,T.Hunter,Martin Jurow,Columbia,col,west,,Santa Barbara town csd
Fade to Black,1980,Zimmerman,Ron Hamady,Columbia,col,susp,,L.A. city
Moscow Does Not Believe in Tears,1980,Menshov,Ron Hamady,Columbia,col,dram,,Moscow city
De Gudene er Dode,1992,Lokkeberg,Lokkeberg,Norwegian Film Institute,col,docu,,Moscow city
Little Miss Marker,1980,W.Bernstein,J.Lang,Universal,tcol,dram,,Moscow city
Feuer; Eis; und Dynamit,1982,Bogner,J.Lang,Universal,tcol,dram,,Moscow city
Stalk the Wild Child,1980,W.Hale,J.Lang,Universal,tcol,dram,,Moscow city
Liberators: Fighting on two Fronts in World War II,1992,Miles,Rosenblum,Miles Educational,col,docu,,Moscow city mil.inst.
Keep Cool,1997,YM.Zhang,Chiu FuSheng,Orion,col,dram,AAN,Moscow city mil.inst. csd csd city
The Family Game,1984,Morita,Chiu FuSheng,Orion,col,dram,AAN,Moscow city mil.inst. csd csd city
Sexworld,1980,Unknown28,Chiu FuSheng,Orion,col,s.f.,AAN,Moscow city mil.inst. csd csd city resort
The Blackout,1997,Ferrara,Chiu FuSheng,Warners,col,s.f.,,NYC city mil.inst.
Striptease,1996,A.Bergman,Mike Lobell,Warners,col,18+,,Las Vegas city
Deadline,1981,Nicholson,Mike Lobell,Warners,col,18+,,Las Vegas city
Meatballs 4,1981,B.Logan,Donald P. Borchers,Warners,col,18+,,Las Vegas city resort
Night Gallery,1981,B.Segal,Peter Katz,Warners,prc,susp,,Buenes Aires csd home city
Galaxy of Terror,1981,B.D.Clark,Peter Katz,Warners,prc,s.f.,,Buenes Aires csd home city
Serial,1981,Persky,Sidney Beckman,Paramount,movielab,,H*,Buenes Aires csd home city
Nighthawks,1981,Malmouth,Sidney Beckman,Paramount,movielab,,H*,Buenes Aires csd home city
Caveman,1981,Gottlieb,David Foster,U.A.,tcol,,,Buenes Aires csd home city
Death of a Centerfold: the Dorothy Stratten Story,1981,Ch.Beaumont,David Foster,U.A.,tv,biop,,Buenes Aires csd home city
P\\\'etrole; p\\\'etrole,1981,Gion,David Foster,U.A.,tv,dram,,Buenes Aires csd home city
Candy,1981,C.Marquand,David Foster,U.A.,tv,dram,,Buenes Aires csd home city
East of Elephant Rock,1981,D.Boyd,Don Boyd,Boyd\\'s Company,col,dram,,Buenes Aires csd home city
Clash of the Titans,1981,Davis,Charles H. Schneer,MGM,mcol,,,Buenes Aires csd home city
Heartaches,1981,Shebib,Charles H. Schneer,MGM,mcol,romt,,Toronto city
Paternity,1981,D.Steinberg,Jerry Tokovsky,Paramount,movielab,romt,,Toronto city
Gorilla Bathes at Noon,1993,Makavejev,Joachim vonVietinghoff,Alert Film,col,dram,H*,Berlin city
Green Ice,1981,E.Day,Jack Wiener,ITC,col,susp,,Berlin city
