title,rel_year,dir_name,prod_name,studio_name,prc,cat,award,location,movie_id
The Evil of Adelaide Winters,1964,,Hitchcock,Shamley,tv,susp,,,LaB30
Thanatos Palace Hotel,1965,,Hitchcock,Shamley,tv,susp,,,LaB31
The Night My Number Came Up,1954,Norman,Tom Morahan,Ealing,bnw,dram,H,,LNm10
Dunkirk,1958,,,,,dram,,Dunkirk,LNm14
Secret Agent,1980,Truman,Cole,,,,,,MT10
Magic City,1954,Koundouros,,,,,,,NKo10
Dracos -- The Ogre of Athens,1956,,,,,dram,,,NKo15
1922,1978,,,,,hist,,,NKo25
Summer and Smoke,1960,Glenville,Wallis,Paramount,tcol,,H,,PeG3
Becket,1964,,Wallis,Paramount,tcol,dram,AAN,Canterbury Cathedral,PeG4
Hotel Paradiso,1966,,,,col,romt,CG,Paris,PeG6
Attilo Flagello di Dio,1954,Francisci,Georgio Andriani,Lux Ponti de Lauretiis,tcol,actn,,,PtF5
Le Fatiche di Ercole,1957,,Federico Teti,Kit Parker,ecol,actn,,,PtF10
Pather Panchali,1954,S.Ray,,,bnw,dram,,,SR1
Aparajito,1956,,S.Ray,Epic,bnw,dram,H,Benares,SR15
Jalsaghar,1958,,,,,dram,,Nimtita,SR20
Apur Sansar,1959,,,,bnw,dram,,Calcutta,SR25
Devi,1960,,,,bnw,dram,,Darjeeling,SR30
The Postmaster,1961,,,,,,,,SR31
Samapti,1961,,,,,,,,SR32
Monihara,1961,,,,,,,,SR33
Kachenjunga,1962,,,,,dram,,,SR35
Mahangar,1963,,R.D. Bansai,,bnw,dram,H,Calcutta,SR36
Charulata,1964,,,,bnw,dram,,Calcutta,SR37
Kapurush o Mahapurush,1965,,,,,,,,SR38
The Hero,1966,,,,,dram,,,SR39
The Adventures of Goopy and Bagha,1968,,,,,dram,,,SR40
Aranyer Din Ratri,1969,,,,,,,,SR45
The Adversary,1971,,,,,dram,,,SR45
Company Limited,1972,,,,,dram,,,SR50
Ashani Sanket,1974,,,,,dram,Baer,,SR55
Jana Aranya,1976,,,,,dram,,,SR60
The Chess Players,1977,,,,,dram,,,SR65
The Stranger,1992,,,,,dram,,Calcutta,SR80
Gate of Hell,1954,Kinegusa,,,col,romt,,Kyoto,TKg10
Godzilla; King of the Monsters,1954,Tanaka,Terry Morse,Embassy,bnw,s.f.,,Tokyo,ToT10
After the Curfew,1954,Ismael,,,,,,,UsI10
Robot Monster,1954,Tucker,,,,s.f.,,,xTu10
Men Only Think of That,1954,Y.Robert,Y.Robert,Gaumont,ecol,romt,H,,YvR3
Le Grand Blond avec une Chaussure Noire,1972,,,Gaumont,col,susp,,,YvR6
Courage Fuyons,1979,,Y.Robert,Gaumont,ecol,romt,H,,YvR10
My Mother's Castle,1981,,,,,,,,YvR15
My Father's Glory,1982,,,,,,,,YvR16
The Indiscreet Mrs. Jarvis,1955,Alan Smithee,,,,,,,AS10
Fade In,1968,,Richard E. Lyons,Universal,col,,H,,AS14
Dune,1984,,,,col,tv,,,AS18
Stitches,1985,,,,col,,,,AS19
Appointment with Fear,1985,,,,col,,,,AS20
Let's Get Harry,1986,,,,col,,,,AS21
Morgan Stewart's Coming Home,,,,,col,,,,AS22
Ghost Fever,1987,,,,col,,,,AS23
I Love New York,1988,,,,col,,,,AS24
Starfire,1990,,,,col,,,,AS25
The Shrimp on the Barbie,1990,,,,col,,,,AS26
Brother Future,1992,,,,col,,,,AS29
Boy Meets Girl,1994,,,,col,,,,AS30
Raging Angels,,,,,col,,,,AS32
Too Bad She's Bad,1955,Blasetti,,,,comd,,,ABl10
Music; Poverty; and Pride,1955,Sakellarios,,,,,,,ASk10
Bring your Smile Along,1955,B.Edwards,,,sp,scat,,,BE1
He Laughed Last,1956,,,,sp,scat,,,BE2
Mister Cory,1957,,,,sp,scat,,,BE3
This Happy Feeling ,1958,,R.Hunter,Universal,col,comd,H,,BE4
The Perfect Furlough,1959,,,,sp,scat,,,BE5
Operation Petticoat,1959,,,,sp,comd,,,BE6
High Time,1960,,,,sp,comd,,,BE7
Breakfast at Tiffany's,1961,,Richard Shepherd,Paramount,tcol,comd,H,NYC,BE8
Experiment in Terror,1962,,B.Edwards,Columbia,bnw,susp,H,S.F.,BE9
Days of Wine and Roses,1962,,Martin Manulia,Warners,bnw,dram,H,S.F.,BE10
The Pink Panther,1963,,Martin Jurow,U.A.,tr,comd,H,,BE11
A Shot in the Dark,1964,,,,,comd,,,BE12
The Great Race,1965,,B.Edwards,Warners,tcol,comd,H,,BE13
What Did you Do in the War Daddy,1966,,,,sp,scat,,,BE14
Gunn,1967,,,,sp,scat,,,BE15
The Party,1968,,B.Edwards,,,comd,,,BE16
Darling Lili,1970,,,,sp,scat,,,BE17
Wild Rovers,1971,,,,sp,scat,,,BE18
The Carey Treatment,1972,,,,sp,scat,,,BE19
Tamarind Seed,1974,,,,,,,,BE20
The Return of the Pink Panther,1974,,B.Edwards,U.A.,deluxe,comd,H,Paris,BE21
The Pink Panther Strikes Again,1974,,B.Edwards,U.A.,deluxe,comd,,Paris,BE22
Revenge of the Pink Panther,1976,,,U.A.,,comd,,,BE23
10,1979,,Tony Adams,Orion,col,18+,H,Acapulco,BE24
S.O.B.,1981,,Tony Adams,Lorimar,col,comd,H,,BE25
Victor/Victoria,1982,,Tony Adams,Pinewood,tcol,musc,H,Chicago,BE26
Trail of the Pink Panther,1982,,Tony Admams,MGM-U.A.,tcol,comd,,,BE27
Curse of the Pink Panther,1983,,,U.A.,col,comd,H,,BE28
The Man Who Loved Women,1983,,B.Edwards,Columbia,mcol,comd,,,BE29
Mickey and Maude,1984,,,,sp,scat,,,BE30
A Fine Mess,1986,,,,sp,scat,,,BE31
That's Life!,1986,,,,sp,scat,,,BE32
Blind Date,1987,,,,sp,scat,,,BE33
Sunset,1988,,,,sp,scat,,,BE34
Justin Case,1988,,,,tv,scat,,,BE35
Skin Deep,1989,,,Fox,tcol,comd,,,BE36
Peter Gunn,1971,,,,tv,scat,,,BE37
Switch,1991,,,U.A.,col,comd,,,BE38
Son of the Pink Panther,1993,,,,col,comd,,,BE39
Female Jungle,1955,VeSota,,,,,,,BVS3
The Brain Eaters,1975,,,,,horr,,,BVS10
The Night of the Hunter,1955,Laughton,Paul Gregory,U.A.,bnw,horr,H,,CL1
Bonjour Sourire,1955,Sautet,,,,,,,ClS1
The Big Risk,1960,,,,,,,,ClS10
Head First,1964,,,,,,,,ClS16
Les choses de la vie,1969,,,,,dram,H,,ClS22
Cesar et Rosalie,1972,,,,,romt,,,ClS25
Vincent; Francois; Paul and the others,1976,,,,,romt,,,ClS28
Une Histoire Simple,1978,,,,,,AAN,,ClS30
Mado,1978,,,,,,AA,,ClS31
Un Mauvais Fils,1980,,,,,,,,ClS33
Garcon!,1983,,,,,,,,ClS36
Un coeur en hiver,1992,,,,col,romt,Cesar,,ClS40
Nelly and Monsieur Arnaud,1996,,,,,romt,,,ClS45
Strom Fear,1955,C.Wilde,,,,,,,CoW1
Maracaibo,1958,,,,,,,,CoW2
Lancelot and Guinevere,1963,,,,ecol,dram,H,,CoW3
Beach Red,1967,,C.Wilde,U.A.,tcol,dram,H,,CoW5
No Blade of Grass,1971,,,,,,,,CoW6
Shark's Treasure,1975,,,,,,,,CoW7
Jungle Moon Men,1955,Gould,Sam Katzman,Columbia,bnw,advt,,,CSG10
Marty,1955,Del.Mann,Hecht,U.A.,bnw,dram,H,Bronx,DeM1
The Bachelor Party,1957,,Harold Hecht,U.A.,bnw,,H,,DeM2
Desire Under the Elms,1958,,Don Hartman,Paramount,vst,dram,H,,DeM4
The Dark at the Top of the Stairs,1960,,,,,,,,DeM6
Lover Come Back,1961,,Marty Melcher,U-I,ecol,comd,H,Manhattan,DeM8
That Touch of Mink,1962,,Martin Melcher,U.I.,ecol,romt,H,Asbury Park,DeM10
Night Crossing,1980,,Tom Leetch,Disney,tcol,dram,H,,DeM17
Separate Tables,1983,,Harold Hecht,U.A.,,,H,,DeM20
Triggers in Leash,1955,Medford,Hitchcock,Shamley,tv,susp,,,DM100
The Vanishing Lady,1955,,Hitchcock,Shamley,tv,susp,,Paris,DM101
To Trap a Spy,1965,,,MGM,col,advt,,,DM200
The Organization,1971,,Walter Mirrisch,U.A.,deluxe,advt,H,S.F.,DM230
I Married a Monster From Outer Space,1958,Fowler,,Paramount,bnw,s.f.,VIP,,GFj10
I Was a Teenage Werewolf,1957,,Herman Cohen,AIP,#NAME?,horr,H,,GFj15
The Rebel Set,1959,,,Allied Artists,,,,,GFj20
Counterfeit Coin,1955,Tzavellas,,,,dram,,,GTz3
Antigone,1961,,,,,dram,,Thebes,GTz10
The Bar Sinister,1955,H.Hoffman,Berman,MGM,cs,comd,H,Bowery,HeH10
The Invisible Boy,1957,,Nicholas Nyfack,MGM,col,s.f.,,,HeH12
Lady and the Tramp,1955,Luske,Erdmann Penner,Disney,cs,cart,H,,HLu10
Les Amants du Tage,1955,Verneuil,,,,,,Lisbon,HVe10
Des Gens sans Importance,1955,,,,,,,,HVe11
Drei von der Tankstelle,1955,Wolff,,,,romt,,,HWo1
Animal World,1955,I.Allen,I.Allen,Warners,tcol,s.f.,,,InA10
The Story of Mankind,1957,,I.Allen,Warners,tcol,,W50,,InA15
Voyage to the Bottom of the Sea,1961,,I.Allen,Fox,col,advt,,,InA28
Five Weeks in a Ballon,1962,,I.Allen,Fox,col,advt,,,InA30
The Swarm,1978,,,,,,,,InA50
Dementia,1955,J.Parker,J.Parker,API,bnw,fant,,,IPa10
The Bespoke Overcoat,1956,Clayton,Clayton,Remus,bnw,dram,H,,JCn1
Room at The Top,1958,,Clayton,,,,,,JCn2
The Innocents,1961,,Clayton,Fox,cs,susp,H,,JCn3
The Pumpkin Eater,1964,,Clayton,,,,,,JCn4
The Great Gatsby,1974,,David Merrick,Paramount,ecol,myst,H,Long Island,JCn6
Something Wicked This Way Comes,1983,,Peter Vincent Douglas,Disney,tcol,fant,H,,JCn20
Salvage,1955,Addis,Hitchcock,Shamley,tv,susp,,,JuA100
A Bullet for Baldwin,1956,,Hitchcock,Shamley,tv,susp,,,JuA101
Safe Conduct,1956,,Hitchcock,Shamley,tv,susp,,,JuA102
Nightmare in 4-D,1957,,Hitchcock,Shamley,tv,susp,,,JuA103
The Night the World Ended,1957,,Hitchcock,Shamley,tv,susp,,,JuA104
Martha Mason; Movie Star,1957,,Hitchcock,Shamley,tv,susp,,,JuA105
The West Warlock Time Capsule,1957,,Hitchcock,Shamley,tv,susp,,,JuA106
The Indestructible Mr. Weems,1957,,Hitchcock,Shamley,tv,susp,,,JuA107
The Seven Little Foys,1955,Shavelson,Jack Rose,Paramount,tcol,comd,H,,MvS1
Beau James,1957,,Jack Rose,Paramount,tcol,biop,H,NYC,MvS2
Houseboat,1958,,Jack Rose,Paramount,tcol,comd,H,,MvS3
The Five Pennies,1959,,Jack Rose,Paramount,tcol,romt,H,L.A.,MvS4
On the Double,1961,,Jack Rose,Paramount,tcol,comd,H,,MvS6
The Pigeon That Took Rome,1962,,Shavelson,Paramount,bnw,comd,H,Rome,MvS10
A New Kind of Love,1963,,Shavelson,Paramount,tcol,comd,H,Paris,MvS12
The Court Jester,1956,Panama,Panama,Paramount,tcol,comd,H,,NPa3
The Maltese Bippy,1969,,,,,,,,NPa10
Coffee; Tea; or Me?,1973,,,,tv,comd,,,NPa20
Rio 40 Gauss,1955,dosSantos,,,,dram,,Rio de Janeiro,NPS10
Vidas Secas,1963,,,,,dram,,,NPS15
Fome de Amor,1968,,,,,dram,,,NPS20
Como era Gostoso o Meu Frances,1971,,,,,dram,,,NPS25
Prince of Players,1955,Ph.Dunne,,,,,,,PhD1
A View from Pompey's Head,1955,,Ph.Dunne,Fox,cs,romt,H,,PhD2
Ten North Frederick,1958,,Brackett,Fox,cs,romt,H,,PhD5
Wild in the Country,1961,,Jerry Wald,Fox,deluxe,musc,H,,PhD9
Lisa,1962,,,,,,,,PhD10
Blindfold,1966,,,,,,,,PhD15
Contraband Spain,1955,P.Saville,,,,,,,PSv1
Stop the World - I Want to Get Off,1966,,,,,,,,PSv2
Oedipus the King,1968,,,,,,,,PSv3
The Best House in London,1969,,,,,,,,PSv4
Secrets,1971,,,,,,,,PSv5
Those Glory; Glory Days,1983,,,,,,,,PSv6
Shadey,1987,,,,,,,,PSv7
Mandela,1987,,,,col,biop,,,PSv8
Wonderland,1989,,,,,,,,PSv9
Fellow Traveller,1989,,,,,,,,PSv10
Max and Helen,1990,,,,,,,,PSv11
Family Pictures,1993,,,,,dram,,,PSv12
Metroland,1999,,,,,dram,,Metroland,PSv13
The Delinquents,1955,Altman,,,,dram,,,RAl1
The James Dean Story,1957,,Altman,,,biop,,,RAl5
The Young One,1957,,Harrison,Shamley,tv,susp,,,RAl20
Together,1958,,Hitchcock,Shamley,tv,susp,,,RAl21
Countdown,1968,,,Warners,cs,s.f.,,,RAl50
The Happy Ending,1969,,Altman,U.A.,tcol,dram,H,,RAl55
M*A*S*H,1970,,Ingo Preminger,Fox,deluxe,comd,VIP,,RAl56
Brewster McCloud,1971,,LouAdler,Paramount,mcol,fant,H,,RAl62
McCabe and Mrs. Miller,1971,,Mitchell Brower,Warners,tcol,comd,H,,RAl68
Images,1972,,,,,dram,,,RAl69
The Long Goodbye,1973,,Elliott Kastner,,,susp,RE,,RAl70
Thieves Like Us,1973,,Robert Eggenwiler,U.A.,deluxe,dram,H,,RAl71
California Split,1974,,Joseph Walsh,Columbia,mcol,comd,H,,RAl72
Nashville,1975,,Martin Starger,Paramount,mcol,musc,H,Nashville,RAl73
Buffalo Bill and the Indians; or Sitting Bull's History Lesson,1976,,Altman,U.A.,col,west,H,,RAl74
3 Women,1978,,,,,fant,,,RAl75
A Wedding,1978,,Altman,,,comd,,,RAl76
Popeye,1980,,,,,,,,RAl80
Come Back to the Five and Dime; Jimmy Dean; Jimmy Dean,1982,,Mark Goodman,Sandcastle 5,duart ,,,,RAl85
Streamers,1983,,Daniel Meknick,,mlab,dram,VIP,,RAl87
Secret Honor,1984,,,Sandcastle 5,col,biop,,Washington,RAl88
Vincent and Theo,1990,,,,col,biop,,,RAl90
The Player,1992,,,EIM,col,noir,AAN,Hollywood,RAl93
Short Cuts,1993,,,,col,noir,AAN,L.A.,RAl95
Ready to Wear ,1994,,,,col,comd,,Paris,RAl98
The Gingerbread Man,1997,,,,,dram,,,RAl101
Cookie's Fortune,1999,,Etchie Stroh,Sandcastle,col,comd,,Holly Springs,RAl104
Gosford Park,2002,,,,col,susp,AA,Holly Springs,RAl106
It Came from beneath the Sea,1955,Rbt.Gordon,Charles H. Schneer,Columbia,bnw,s.f.,,S.F.,RbG10
Swamp Women,1955,Corman,Bernard Woolner,AIP,,advt,W50,,RCo3
It Conquered the World,1955,,Bernard Woolner,AIP,,s.f.,,,RCo4
Cry Baby Killer,1957,,Corman,,,,,,RCo9
Not of This Earth,1957,,Corman,,,,,,RCo10
Attack of the Crab Monster,1957,,Corman,Allied Artists,,s.f.,,,RCo11
Carnival Rock,1957,,Corman,,,,,,RCo13
Machine Gun Kelly,1958,,Corman,AIP,bnw,actn,,,RCo14
I; Mobster,1958,,Gene Corman,Fox,bnw,actn,,,RCo15
The Wasp Woman,1959,,Corman,Allied,bnw,horr,,,RCo23
A Bucket of Blood,1959,,Corman,AIP,bnw,comd,,,RCo24
House of Usher,1960,,Corman,AIP,ecol,horr,H,,RCo26
The Little Shop of Horrors,1960,,Corman,Filmgroup,bnw,horr,,,RCo27
The Pit and the Pendulum,1961,,Corman,AIP,ecol,horr,H,,RCo30
The Premature Burial,1962,,Corman,,,horr,,,RCo32
The Intruder,1962,,Corman,,,,,,RCo33
Tales of Terror,1962,,Joyce Janis,AIP,ecol,horr,,,RCo34
Tower of London,1962,,Gene Corman,U.A.,bnw,hist,,London,RCo35
The Raven,1963,,Corman,AIP,ecol,fant,H,,RCo36
The Terror,1963,,Corman,,,horr ,,,RCo37
The Haunted Palace,1963,,Corman,HBO,col,horr,,,RCo38
The Masque of the Red Death,1964,,Corman,,,horr,,,RCo41
The Tomb of Ligeia,1965,,Corman,AIP,cs,horr,H,,RCo43
The Wild Angels,1966,,Corman,AIP,col,actn,,,RCo44
The St. Valentine's Day Massacre,1967,,Corman,,,,,,RCo45
The Trip,1967,,,,,,,,RCo46
Bloody Mama,1970,,Corman,AIP,col,horr,,,RCo47
Gas-s-s!,1970,,,AIP,,horr,,,RCo48
von Richthoven and Brown,1971,,Corman,U.A.,,,,,RCo49
Streetwalkin',1980,,Corman,,,18+,,,RCo60
Watchers II,1987,,,,,horr,,,RCo70
Komal Gandhar,1964,Ghatak,,,,,,,RGt10
Subarnarekha,1965,,,,,,,,RGt15
A Man Alone,1955,Milland,,Republic,col,west,H,,RMl1
Premonition,1955,R.Stevens,Hitchcock,Shamley,tv,susp,,,RSt100
Our Cook's a Treasure,1955,,Hitchcock,Shamley,tv,susp,,,RSt101
Guilty Witness,1955,,Hitchcock,Shamley,tv,susp,,,RSt102
The Cheney Vase,1955,,Hitchcock,Shamley,tv,susp,,,RSt103
You Got to Have Luck,1956,,Hitchcock,Shamley,tv,susp,,,RSt104
The Older Sister,1956,,Hitchcock,Shamley,tv,susp,,,RSt105
Shopping for Death,1956,,Hitchcock,Shamley,tv,susp,,,RSt106
Place of Shadows,1956,,Hitchcock,Shamley,tv,susp,,,RSt107
The Perfect Murder,1956,,Hitchcock,Shamley,tv,susp,,,RSt108
Portrait of Jocelyn,1956,,Hitchcock,Shamley,tv,susp,,,RSt109
Never Again,1956,,Hitchcock,Shamley,tv,susp,,,RSt110
The Gentleman from America,1956,,Hitchcock,Shamley,tv,susp,,,RSt111
The Baby Sitter,1956,,Hitchcock,Shamley,tv,susp,,,RSt112
The Hidden Thing,1956,,Hitchcock,Shamley,tv,susp,,,RSt113
Momentum,1956,,Hitchcock,Shamley,tv,susp,,,RSt114
De Mortuis,1956,,Hitchcock,Shamley,tv,susp,,,RSt115
None are so Blind,1956,,Hitchcock,Shamley,tv,susp,,,RSt116
Toby,1956,,Hitchcock,Shamley,tv,susp,,,RSt117
John Brown's Body,1956,,Hitchcock,Shamley,tv,susp,,,RSt118
The Big Caper,1957,,,,,,,,RSt201
Manacled,1957,,Hitchcock,Shamley,tv,susp,,L.A.,RSt319
Number Twenty-two,1957,,Hitchcock,Shamley,tv,susp,,,RSt320
The End of Indian Summer,1957,,Hitchcock,Shamley,tv,susp,,,RSt321
One for the Road,1957,,Hitchcock,Shamley,tv,susp,,,RSt322
I Killed the Count,1957,,Hitchcock,Shamley,tv,susp,,,RSt323
The Hands of Mr. Ottermole,1957,,Hitchcock,Shamley,tv,susp,,,RSt324
The Dangerous People,1957,,Hitchcock,Shamley,tv,susp,,,RSt325
The Glass Eye,1957,,Hitchcock,Shamley,tv,susp,,,RSt326
Heart of Gold,1957,,J.Harrison,Shamley,tv,susp,,,RSt327
Lord Arthur Savile's Crime,1958,,Hitchcock,Shamley,tv,susp,,,RSt328
The Motive,1958,,Hitchcock,Shamley,tv,susp,,,RSt329
Miss Bracegirdle Does her Duty,1958,,Hitchcock,Shamley,tv,susp,,,RSt330
Heartbeat,1958,,Hitchcock,Shamley,tv,susp,,,RSt331
Foghorn,1958,,J.Harrison,Shamley,tv,susp,,S.F.,RSt332
The Eye of Truth,1958,,Hitchcock,Shamley,tv,susp,,,RSt333
The Canary Sedan,1958,,Hitchcock,Shamley,tv,susp,,Hong Kong,RSt334
Don't Interrupt,1958,,Hitchcock,Shamley,tv,susp,,,RSt335
Design for Loving,1958,,J.Harrison,Shamley,tv,susp,,,RSt336
A Man with a Problem,1958,,J.Harrison,Shamley,tv,susp,,NYC,RSt337
Tea Time,1958,,Hitchcock,Shamley,tv,susp,,,RSt338
I'll Take Care of You,1959,,J.Harrison,Shamley,tv,susp,,,RSt339
The Waxwork,1959,,Hitchcock,Shamley,tv,docu,,S.F.,RSt340
The Impossible Dream,1959,,Hitchcock,Shamley,tv,susp,,,RSt341
Appointment at Eleven,1959,,J.Harrison,Shamley,tv,susp,,,RSt342
Specialty of the House,1959,,J.Harrison,Shamley,tv,susp,,,RSt343
The Greatest Monster of Them All,1961,,Hitchcock,Shamley,tv,susp,,,RSt344
I Thank A Fool,1962,,,,,,,,RSt405
In the Cool of the Day,1963,,,,,,,,RSt410
Goodbye; George,1963,,Hitchcock,Shamley,tv,susp,,,RSt440
The Magic Shop,1964,,Hitchcock,Shamley,tv,susp,,,RSt441
The Ordeal of Mrs. Snow,1964,,Hitchcock,Shamley,tv,susp,,,RSt442
Consider Her Ways,1964,,Hitchcock,Shamley,tv,susp,,,RSt445
The Monkey's Paw; A Retelling,1965,,Hitchcock,Shamley,tv,susp,,,RSt446
Not as a Stranger,1955,St.Kramer,St.Kramer,,,,,,SK1
Pride and the Passion,1957,,St.Kramer,U.A.,tcol,advt,H,,SK2
The Defiant Ones,1958,,St.Kramer,U.A.,bnw,dram,H,,SK3
On the Beach,1959,,St.Kramer,,,,,,SK4
Inherit the Wind,1960,,St.Kramer,U.A.,bnw,hist,H,,SK5
Judgement at Nuremberg,1961,,St.Kramer,U.A.,bnw,dram,VIP,Nurnberg,SK6
It's a Mad Mad Mad Mad World,1963,,,,,comd,,,SK8
Ship of Fools,1965,,St.Kramer,U.A.,bnw,,H,,SK10
Guess Who's Coming to Dinner,1967,,St.Kramer,Columbia,tcol,dram,AAN,,SK12
The Secret of Santa Vittoria,1969,,St.Kramer,,,,,,SK14
R.P.M.,1971,,St.Kramer,,,,,,SK16
Bless the Beasts and Children,1971,,St.Kramer,,,,,,SK17
Oklahoma Crude,1973,,St.Kramer,,,,,,SK20
Bless the Beasts and Children,1973,,St.Kramer,Columbia,col,advt,H,,SK22
The Domino Principle,1977,,Martin Starger,Associated General,cfcol,susp,H,,SK26
The Runner Stumbles,1979,,St.Kramer,,,,,,SK30
Children in the Classroom,1955,Hani,,,bnw,docu,,,SuH1
Children Who Draw Pictures,1956,,,,bnw,docu,,,SuH2
Furyo Shonen,1961,,,Iwapami,bnw,docu,,,SuH10
Kanojo to Kare,1963,,,,,,,,SuH14
Te o Tanagu Kora,1963,,,,,,,,SuH15
Hatsui Jigokuhen,1968,,,,,,,Shinjuku,SuH20
Will Penny,1968,Gries,,,,,,,ToG3
The Hawaiians,1970,,Walter Mirisch,U.A.,deluxe,dram,H,,ToG6
Glass House,1972,,,,tv,,,,ToG8
Lady Ice,1973,,,,,,,,ToG9
Breakout,1975,,,,,,,,ToG10
Breakheart Pass,1976,,Jerry Gershwin,U.A.,deluxe,susp,H,,ToG15
QB VII,1980,,,,,,,,ToG20
The Greatest,1980,,,,,biop,,,ToG22
The Benny Goodman Story,1955,V.Davies,Aaron Rosenberg,U-I,tcol,biop,H,Chicago,VDa10
John and Julie,1955,Fairchild,Herbert Mason,Group Three,ecol,comd,H,London,WiF10
The Price of Fear,1956,A.Biberman,,,,,,,AbB1
The Young Guns,1956,Band,,,,actn,,,ABd
I Bury the Living,1957,,,,,horr,,,ABd4
The Abductors,1956,McLaglen,Ray Wander,Fox,bnw,dram,H,,AVL2
McLintock,1963,,,,,,,,AVL6
Shenandoah,1965,,,,,dram,,,AVL7
The Way West,1966,,,,,west,,,AVL9
Bandolero!,1968,,Robert L. Jacks,Fox,deluxe,west,H,,AVL10
The Undefeated,1969,,Robert L. Jacks,Fox,deluxe,west,H,,AVL11
Hellfighters,1971,,,,col,actn,CG,,AVL13
One More Train to Rob,1971,,,,,,,,AVL17
Something Big,1971,,McLaglen,,,,,,AVL18
The Abductors,1971,,,,,,,,AVL19
The Train Robbers,1973,,,,,,,,AVL21
Fantastic Journey,1977,,,,,,,,AVL29
The Wild Geese,1978,,Euan Lloyd,Rank,ecol,advt,H,,AVL30
The Sea Wolves,1980,,Euan Lloyd,Lorimar,ecol,advt,H,,AVL35
Nothing But the Best,1963,C.Donner,,,,,,,CD7
What's New Pussycat?,1965,,Charlie Feldman,Famous Artists,tcol,comd,,Paris,CD8
Here we go Round the Mulberry Bush,1967,,,,,,,,CD10
Luv,1967,,,,,,,,CD11
Old Dracula,1973,,Jach C. Wiener,AIP,col,horr,,,CD20
Vampira,1974,,Jack H. Wiener,Columbia,col,comd,H,,CD22
The Thief of Bagdad,1981,,,,tv,fant,H,,CD28
Charlie Chan and the Curse of the Dragon Queen,1981,,Jerry Sherlock,U.A.,cfcol,advt,H,,CD29
The Scarlet Pimpernel,1982,,,,tv,,,,CD31
A Christmas Carol,1982,,,,tv,,,,CD33
Johnny Concho,1956,McGuire,,,,,,,DMG1
The Delicate Delinquent,1957,,,,,comd,,,DMG2
Whodunit,1956,F.Cockrell,Hitchcock,Shamley,tv,susp,,,FCk1
The Rose Garden,1956,,Hitchcock,Shamley,tv,susp,,,FCk2
Patterns of Power,1956,F.Cook,Michael Myerberg,U.A.,bnw,dram,H,NYC,FiC1
Big Hand for a Little Lady,1966,,,,,,,,FiC3
How to Save A Marriage,1967,,,,,,,,FiC4
Prudence and the Pill,1968,,,,,,,,FiC5
Miracle on 34th Street,1973,,,,tv,dram,,Manhattan,FiC11
This Is The West That Was,1974,,,,tv,,,,FiC13
A Love Affair: The Eleanor and Lou Gehrig Story,1980,,,,,biop,,,FiC20
The Violent Years,1956,Eichorn,A.O. Bayer,Headliner,bnw,18+,,,FrE10
Great Locomotive Chase,1956,Lyon,Lawrence Edward Watkin,Disney,cs,advt,H,,FrL10
Murder She Said,1963,Pollock,George H. Brown,MGM,bnw,myst,H,,GeP10
Murder at the Gallop,1963,,,,,myst,,,GeP15
Murder Most Foul,1964,,Lawrence P. Bachman,MGM,bnw,myst,H,,GeP15
Murder Ahoy,1964,,,,,myst,,,GeP18
Ten Little Indians,1965,,,,,myst,H,,GeP25
The Electric Horseman,1979,,Ray Stark,Universal,tcol,west,H,,GeP40
Kiss Before Dying,1956,G.Oswald,,,,,,,GOw10
Screaming Mimi,1958,,,,,,,,GOw15
Agent for H.A.R.M.,1966,,,,,,,,GOw20
The Belfry,1956,Daugherty,Hitchcock,Shamley,tv,susp,,,HeD100
The Creeper,1956,,Hitchcock,Shamley,tv,susp,,,HeD101
Fog Closing In,1956,,Hitchcock,Shamley,tv,susp,,,HeD102
Kill with Kindness,1956,,Hitchcock,Shamley,tv,susp,,,HeD103
The Better Bargain,1956,,Hitchcock,Shamley,tv,susp,,,HeD104
My Brother Richard,1957,,Hitchcock,Shamley,tv,susp,,,HeD105
A Bottle of Wine,1957,,Hitchcock,Shamley,tv,susp,,,HeD106
The Cream of the Jest,1957,,Hitchcock,Shamley,tv,susp,,,HeD107
Father and Son,1957,,Hitchcock,Shamley,tv,susp,,London,HeD108
Sylvia,1958,,Hitchcock,Shamley,tv,susp,,,HeD109
The Return of the Hero,1958,,Hitchcock,Shamley,tv,susp,,,HeD110
The Way Up to Heaven,1958,,Hitchcock,Shamley,tv,susp,,,HeD111
Little White Frock,1958,,Hitchcock,Shamley,tv,susp,,,HeD112
The Morning After,1959,,J.Harrison,Shamley,tv,susp,,,HeD113
The Last Dark Step,1959,,J.Harrison,Shamley,tv,susp,,,HeD114
The Diamond Necklace,1959,,J.Harrison,Shamley,tv,susp,,,HeD115
The Dusty Drawer,1959,,J.Harrison,Shamley,tv,susp,,,HeD116
Coyote Moon,1959,,J.Harrison,Shamley,tv,susp,,,HeD117
The Blessington Method,1959,,J.Harrison,Shamley,tv,susp,,,HeD118
Graduating Class,1959,,J.Harrison,Shamley,tv,susp,,,HeD119
The Cure,1960,,J.Harrison,Shamley,tv,susp,,Amazon,HeD120
Mother; May I go out to Swim?,1960,,J.Harrison,Shamley,tv,susp,,,HeD121
Outlaw in Town,1960,,Hitchcock,Shamley,tv,susp,,,HeD122
Summer Shade,1961,,Hitchcock,Shamley,tv,susp,,Salem,HeD123
The Door Without a Key,1962,,Hitchcock,Shamley,tv,susp,,,HeD124
