stagename,dowstart,dowend,lname,fname,gender,dob,dod,roletype,origin
Helen Mack,1924,1945,Mack,Helen,F,1913,1984,lead,Am
Kerry Mack,,,,,M,,1992,unknown,Ct
Marion Mack,,,,,F,,1992,unknown,Ct
Dorothy Mackaill,1921,1937,Mackaill,Dorothy,F,1903,1984,lead,Br
Barry Mackay,1934,1955,Mackay,Barry,M,1906,1984,lead,Br
Fulton Mackay,1983,,Mackay,Fulton,M,,1987,unknown,Ct
Janet MacLachian,,,,,F,,1992,unknown,Ct
Kyle MacLachlan,,,,,M,,1992,boyish,
Sandy Mackendrick,,, Mackendrick,Alexander,M,1912,1984,unknown,Am
Kenneth MacKenna,1925,1962, Mielziner,Leo,M,1899,1962,general purpose,Am
Shirley MacLaine,1956,,Beaty,Shirley MacLaine,F,1934,1984,impish dancer,Am
Barton MacLane,1924,1969,MacLane,Barton,M,1900,1969,crooked cop; sheriff or ganster,Am
Douglass MacLean,1919,1925,MacLean,Douglass,M,1890,1967,silent comedian,Am
Micheal MacLiammoir,1952,1971,MacLiammoir,Micheal,M,1899,1978,character,Ir
Jena Malone,1997,,Jena,Malone,F,1984,1984,lonely girl,Ct
Aline MacMahon,1931,1963,MacMahon,Aline,F,1899,1984,sad-faced; gentle-mannered,Am
Horace MacMahon,1937,1968,MacMahon,Horace,M,1907,1971,character,Am
Fred MacMurray,1934,1978,MacMurray,Fred,M,1907,1991,likeable; durable,Am
Robert MacNaughton,,,,,M,,1992,unknown,Ct
Patrick MacNee,1943,1984,MacNee,Patrick,M,1922,1984,smooth,Br
Kristy MacNichol,,, MacNichol,Kristy,F,1976,1984,juvenile,Am
Peter MacNicol,,,,,M,,1992,unknown,Ct
Norman Macowan,1948,1960,Macowan,Norman,M,1877,1961,character,Br
Douglas MacPhail,1936,1942,MacPhail,Douglas,M,1910,1944,singer,Am
Elle MacPherson,1991,,MacPherson,Elle,F,1966,1984,model,Am
Jeanie MacPherson,1908,1937,MacPherson,Jeanie,F,1878,1946,unknown,Am
Duncan Macrae,1947,1967,Macrae,Duncan,M,1905,1967,craggy-faced,Br
Gordon Macrae,1948,1956,Macrae,Gordon,M,1921,1986,singer,Am
Michael Macrae,,,,,M,,1992,unknown,Ct
George Macready,1942,1971,MaCready,George,M,1909,1973,villain; neurotic or weakling,Am
Bill Macy,1975,1983,Macy,Bill,M,1922,1984,character,Am
William H. Macy,1991,1997,Macy,William H. Macy,M,,1984,character,Am
Donald Madden,1972,,,,M,,1983,unknown,Ct
Peter Madden,1948,1966,Madden,Peter,M,1905,1976,gaunt,Br
Victor Maddern,1949,1967,Maddern,Victor,M,1926,1984,stocky,Br
Amy Madigan,,,,,F,,1992,unknown,Ct
Guy Madison,1944,1978,Moseley,Robert,M,1922,1984,lead,Am
Noel Madison,1930,1949,Moscovitch,Nathaniel,M,1898,1975,sinister; ganster,Am
Madonna,1990,,Ciccone,fn,F,1959,1984,sexy singer,Am
Patrick Magee,1960,1980,Magee,Patrick,M,1924,1982,sinister,Br
Anna Magnani,1934,1969,Magnani,Anna,F,1907,1973,volatile,It
George Maharis,1960,1982,Maharis,George,M,1928,1984,intense-looking,Am
Jock Mahoney,1949,1978,O'Mahoney,Jacques,M,1919,1984,athletic,Am
John Mahoney,,,,,M,,1992,unknown,Ct
Marjorie Main,1933,1956,Tomlinson,Mary,F,1890,1975,character,Am
Marne Maitland,1950,1976,Maitland,Marne,M,1920,1984,sinister oriental,Br
Lee Majors,1967,1981,Majors,Lee,F,1940,1984,lead,Am
Eliot Makeham,1932,1956,Makeham,Eliot,M,1882,1956,character,Br
Chris Makepeace,,,,,,,1992,unknown,Ct
Mako,1966,1981,,,M,,,character,Ja
Mala,1932,1952,Wyse,Ray,M,1906,1952,unknown, Eskimo
Patrick Malahide,,,,,M,,1992,unknown,Ct
John Malcolm,,,,,M,,1992,unknown,Ct
Karl Malden,1940,1983,Sekulovich,Malden,M,1913,1984,police inspector,Am
Laurent Malet,,,,,M,,1992,unknown,Ct
John Malkovich,1989,,Malkovich,John,M,,1992,cool lead,Am
Miles Malleson,1931,1965,Malleson,Miles,M,1888,1969,long-lived lead,Am
Tania Mallett,,,,,F,,1992,unknown,Ct
Boots Mallory,1932,1937,Mallory,Patricia,F,1913,1958,lead,Am
Gina Malo,1932,1940,Flynn,Janet,F,1909,1963,lead,Ir
Dorothy Malone,1943,1980,Maloney,Dorothy,F,1925,1993,sultry blonde,Am
Eily Malyon,1934,1946,Malyon,Eily,,1879,1961,character,Br
Nick Mancuso,1978,1983,Mancuso,Nick,M,1956,1984,heavy-set,Ca
Robert Mandan,,,,,M,,1992,unknown,Ct
Miles Mander,1925,1946,Mander,Lionel,M,1888,1946,character,Br
Silvana Mangano,1947,1987,Mangano,Silvana,F,1937,1989,earthy beauty,It
Karin Mani,,,,,F,,1992,unknown,Ct
Hank Mann,1936,1940,Liebermann,David,M,1887,1971,gargantuan,Am
Guido Mannari,,,,,M,,1992,unknown,Ct
David Manners,1930,1936,deRyther Duan Acklom,Rauff,M,1901,1984,lead,Ca
Lucie Mannheim,1935,1965,Mannheim,Lucie,F,1895,1976,character,Ge
Ettori Manni,1952,1976,Manni,Ettori,M,1927,1979,unknown,It
Irene Manning,1937,1948,Harvuot,Inez,F,1917,1984,lead,Am
Dinah Manoff,,,,,F,,1992,unknown,Ct
Jayne Mansfield,1955,1967,Palmer,Vera Jane,F,1932,1967,blonde; ample,Am
Clelia Mantania,,,,,F,,1992,unknown,Ct
Paul Mantee,1964,1980,Marianetti,Paul,M,1936,1984,general purose,Am
Joe Mantell,,,,,M,,1992,unknown,Ct
Kiti Manver,,,,,F,,1992,unknown,Ct
Leslie Manville,,,,,,,1992,unknown,Ct
Linda Manz,1978,1980,Manz,Linda,F,1961,1984,lead,Am
David Manzy,,,,,M,,1992,unknown,Ct
Adele Mara,1942,1959,Delgado,Adelaida,F,1923,1984,lead,Sp
Jean Marais,1943,1949,Marais-Villain,Jean,M,1913,1984,romantic; detective,Fr
Marcel Marceau,,, Marceau,Marcel,M,,1992,mime,Fr
Sophie Marceau,1980,1999,Maupu,Sophie,F,1966,1984,sexy teenager,Fr
Fredric March,1929,1973,Bickel,Frederick McIntyre,M,1897,1975,intelligent integrity,Am
Hal March,1950,1964,March,Hal,M,1920,1970,comic,Am
Jane March,1992,,March,Jane,F,1973,,sexy,Br
Corinne Marchand,1962,1970,Marchand,Corinne,F,1928,1984,lead,Fr
Henri Marchand,1931,1956,Marchand,Henri,M,1898,1959,comedy,Fr
Nancy Marchand,,,,,F,,1992,unknown,
Andrea Marcovicci,,,,,F,,1992,singer,Am
Theodore Marcuse,1965,1967,Marcuse,Theodore,M,1920,1967,shaven-pated,Am
Janie Mareze,1931,,Mar`eze,Janie,F,,1984,unknown,Fr
Arthur Margetson,1931,1944,Margetson,Arthur,M,1897,1951,supporting,Br
Margo,1933,1963,Boldao y Castillo,Marguerita Maria Guadelupe,F,1918,1984,dancer,Sp
Janet Margolin,1962,1989,Margolin,Janet,F,1943,1993,suffering lead,Am
Stuart Margolin,1972,1981,Margolin,Stuart,M,1940,1984,character,Am
Michael Margotta,,,,,M,,1992,unknown,
Cheech Marin,1978,1983,Marin,Richard,M,,1992,crazy comic,
Jacques Marin,1974,1977,Marin,Jacques,,1919,1984,character,Fr
Rikki Marin,,,,,F,,1992,unknown,
Howard MarionCrawford,1932,1966,Marion-Crawford,Howard,M,1914,1969,jovial; beefy; sproting,Br
Jane March,1994,,bn,gn,F,1973,1984,unknown,Am
Jane Marken,1915,1958,Marken,Jane,F,1895,1984,character,Fr
Enid Markey,1915,1918,Markey,Enid,F,1890,1981,jungle girl,Am
Kika Markham,1972,1981,,,F,,1992,unknown,
Monte Markham,1971,1973,Markham,Monte,M,1935,1984,lead,Am
Ted Markland,,,,,M,,1992,unknown,Ct
John Marley,1952,1980,Marley,John,M,1916,1984,character,Am
Hugh Marlowe,1937,1968,Hipple,Hugh,M,1911,1982,unknown,Am
Scott Marlowe,1957,1961,Marlowe,Scott,M,,,juvenile,Am
Percy Marmont,1925,1956,Marmont,Percy,M,1883,1977,romantic,Br
Evaristo Marquez,,,,,M,,1992,unknown,
Sally Marr,,,,,F,,1992,unknown,
Kenneth Mars,1967,1979,Mars,Kenneth,M,1936,1984,character comedian,Am
Carol Marsh,1947,1959,Simpson,Norma,F,1926,1984,lead,Br
Garry Marsh,1930,1955,Geraghty,Leslie March,M,1902,1981,robust; balding,Br
Mae Marsh,1912,1960,Marsh,Mary Warne,F,1895,1968,lead; silent,Am
Marion Marsh,1931,1942,Krauth,Violet,F,1913,1984,lead,Am
Alan Marshal,1936,1959,Marshal,Alan,M,1909,1961,light romantic,Au
Arthur Marshal,1959,,Marshal,Arthur,M,,1989,unknown,Ct
Brenda Marshall,1939,1950,Marshall,Brenda,F,1915,1984,lead,Am
Bryan Marshall,,,,,M,,1992,unknown,
Connie Marshall,1944,1950,Marshall,Connie,F,1938,1984,child,Am
Don Marshall,,,,,M,,1992,unknown,Ct
E.G. Marshall,1945,1983,Marshall,Everett G.,M,1910,1998,dignified professional,Am
Herbert Marshall,1927,1965,Marshall,Herbert,M,1890,1966,one-legged playboy,Br
James Marshall,1992,,Marshall,James,M,1967,1984,rebel,Am
Ken Marshall,,,,,M,,1992,unknown,
Penny Marshall,,,,,F,,1992,unknown,Ct
Sarah Marshall,1963,,,,F,,1992,young,Am
Tully Marshall,1915,1942,Phillips,William,M,1864,1943,silent,Am
Zena Marshall,1945,1962,Marshall,Zena,F,1926,1984,lead,Br
AnneMarie Martin,1984,,Martin,Anne-Marie,F,1957,1984,ty,Am
ChrisPin Martin,1934,1953,Martin,Chris-Pin,M,1894,1953,rotund,
Dean Martin,1949,1978,Crocetti,Dino,M,1917,1984,spoofing singer,Am
Dewey Martin,1949,1972,Martin,Dewey,M,1923,1984,lead,Am
Dick Martin,1968,1972,Martin,Dick,M,1923,1984,comic,Am
Edie Martin,1949,1955,Martin,Edie,F,1880,1964,frail; tiny old lady,Br
Jean Martin,1966,,,,M,,1992,unknown,Fr
Marion Martin,1940,1954,Martin,Marion,F,1916,1984,blond showgirl,Am
Mary Martin,1939,1979,Martin,Mary,M,1913,1990,musical comedy,Am
Millicent Martin,1960,1969,Martin,Millicent,F,1934,1984,songstress,Br
Pamela Sue Martin,1971,1979,Martin,Pamela,F,,,teenage detective,Am
Ross Martin,1955,1970,Rosenblatt,Martin,M,1920,1981,character,Po
Steve Martin,1978,1991,Martin,Steve,M,1945,1984,comic,Am
Strother Martin,1950,1979,Martin,Strother,M,1920,1980,grizzled westerns,Am
Tony Martin,1936,1957,Norris,Alfred,M,1912,1984,cabaret singer; lead,Am
Elsa Martinelli,1955,1968,Martinelli,Elsa,F,1933,1984,lead,It
Frederick Martini,,,,,M,,1992,unknown,Ct
Nino Martini,1935,1948,Martini,Nino,M,1904,1976,unknown,It
Al Martino,,,,,M,,1992,unknown,Ct
Leslie Martinson,,, Martinson,Leslie H.,F,,,unknown,
Lee Marvin,1951,1983,Marvin,Lee,M,1924,1987,ruthless-looking hulk,Am
Chico Marx,1929,1957,Schoenberg,Leonard,M,1886,1961,zany pianist,Am
Groucho Marx,1929,1974,Schoenberg,Julius,M,1890,1977,zany; cynical,Am
Harpo Marx,1925,1961,Schoenberg,Adolph (Arthur),M,1888,1964,childish; mute,Am
Gummo Marx,1929,1961,Schoenberg,Milton,M,1893,1977,zany,Am
Zeppo Marx,1929,1933,Schoenberg,Herbert,M,1901,1979,romantic,Am
Marx Brothers,1929,1968, Brooks,Marx,G,,,slapstick comics,
Ron Masak,,,,,M,,1992,unknown,Ct
Giulietta Masina,1947,1969,Masina,Giulietta,F,1921,1984,gamin-like,It
Johnny Mask,,,,,M,,1992,unknown,Ct
Virginia Maskell,1957,1968,Maskell,Virginia,F,1936,1968,soulful eyes,Br
Henry Mason,,,,,M,,1992,unknown,Ct
Hilary Mason,1973,,,,F,,1992,unknown,Ct
Jack Mason,,,,,M,,1992,unknown,Ct
James Mason,1935,1984,Mason,James,M,1909,1984,saturnine,Br
Marsha Mason,1966,1983,Mason,Marsha,F,1942,1984,lead,Am
Shirley Mason,1915,1929,Flugrath,Leona,F,1900,1979,lead; silent,Am
Lea Massari,1958,1979,Massari,Lea,F,1933,1984,lead,Fr
Osa Massen,1939,1950,Massen,Osa,F,1915,1984,unknown,Da
Anna Massey,1958,1979,Massey,Anna,F,1937,1984,character,Am
Daniel Massey,1957,1980,Massey,Daniel,M,1933,1984,unknown,Br
Edith Massey,1972,1974,Massey,Edith,F,,1993,weird,Ct
Ilona Massey,1935,1959,Hajmassey,Ilona,F,1912,1974,lead,Hu
Raymond Massey,1931,1973,Massey,Raymond,M,1896,1983,saturnine,Ca
Paul Massie,1957,1962,Massie,Paul,M,1932,1984,unknown,Ca
Mary Stuart Masterson,1974,1992,,,F,1967,1984,unknown,Ct
Peter Masterson,,,,,M,,1984,unknown,Ct
Sean Masterson,,,,,M,,1984,unknown,Ct
Mary Elizabeth Mastrantonio,,,,,F,,1984,unknown,Ct
Chiara Mastroianni,1992,1997,Mastroianni,Chiara ,F,1972,1984,,
Marcello Mastroianni,1947,1992,Mastroianni,Marcello,M,1923,1992,charmer,It
Richard Masur,1975,1984,Masur,Richard,M,,1984,plump,Am
Clelia Matania,1973,,,,F,,1984,unknown,Ct
Julian Mateus,,,,,M,,1984,unknown,Ct
Aubrey Mather,1931,1958,Mather,Aubrey,M,1885,1958,bald butler,Br
James Mathers,,,,,M,,1984,unknown,Ct
Murray Matheson,1952,1967,Matheson,Murray,M,1912,1984,soft-spoken,Br
Tim Matheson,1965,1983,Matthieson,Tim,M,1926,1984,lead,Am
Kerwin Mathews,1955,1978,Mathews,Kerwin,M,1926,1984,lead,Am
Walter Matthau,1955,1999,Mathasschanskayasky,Walter,M,1920,2000,wry,Am
A.E. Matthews,1914,1960,Matthews,A.E.,M,1869,1960,romantic; later crotchety,Br
Jessie Matthews,1923,1979,Matthews,Jessie,F,1907,1981,vivacious,Br
Lester Matthews,1931,1951,Matthews,Lester,M,1900,1975,unknown,Br
Peter Matthey,,,,,M,,1984,unknown,
Robin Mattson,,,,,F,,1984,sexy,Am
Victor Mature,1939,1979,Mature,Victor,M,1915,1984,stylish hunk,Am
Billy Mauch,1937,,Mauch,William,M,1925,1984,unknown,Ct
Bobby Mauch,1937,,Mauch,Robert,M,1925,1984,unknown,Ct
Cyril Maude,1930,,Fn,Gn,M,,1984,unknown,Ct
Carmen Maura,1986,1988,,,F,,1984,sexy,Sp
Nicole Maurey,1951,1962,Maurey,Nicole,F,1925,1984,lead,Fr
Edwin Maxwell,1927,1947,Maxwell,Edwin,M,1886,1948,stocky; balding,Am
Elsa Maxwell,1939,1943,Maxwell,Elsa,F,1883,1963,dumpy columnist,Am
Lois Maxwell,1947,1980,Hooker,Lois,F,1927,1984,secretary,Ca
Marilyn Maxwell,1942,1964,Maxwell,Marvel,F,1921,1972,blonde singer,Am
Elaine May,1967,1972,May,Elaine,F,1932,1984,cabaret star,Am
Mathilda May,1990,,May,Mathilda,F,1965,1984,dancer,Ge
Russ Mayberry,,, Maxwell,Russ,M,,1984,unknown,Ct
Eddie Mayehoff,1951,1965,Mayehoff,Eddie,M,1911,1984,comic; band leader,Am
Peter Mayhew,1980,,,,M,,1984,speaking animal,Am
Bill Maynard,1969,1976,Maynard,Bill,M,1928,1984,massive comic,Br
Ken Maynard,1924,1945,Maynard,Ken,M,1895,1973,cowboy,Am
Ferdy Mayne,1944,1983,Mayer-Boerckel,Ferdinand,M,1916,1984,smooth villain,Ge
Virginia Mayo,1943,1978,Jones,Virginia,F,1920,1995,peaches and cream,Am
Mike Mazurki,1941,1971,Mazurwski,Mikhail,M,1909,1984,massive,Ru
Melanie Mayron,,,,,F,,1984,teenager,Am
Paul Mazursky,1969,1986,Mazursky,Paul,M,1938,1984,cameos,Am
Marianne McAndrew,1969,1971,McAndrew,Marianne,F,1938,1984,lead,Am
Ray McAnnely,,,McAnnely,Ray,M,,1989,unknown,Ct
Andrea McArdle,,,,,F,,1984,unknown,Ct
May McAvoy,1917,1929,McAvoy,May,F,1901,1984,lead,Am
Diane McBain,1960,1964,McBain,Diane,F,1941,1984,lead,Am
Donald McBride,1938,1955,McBride,Donald,M,1894,1957,character comedian,Am
Marcia McBroom,,,,,F,,1984,unknown,Ct
Frances Lee McCain,,,,,F,,1984,unknown,Ct
Irish McCalla,,,,,F,,1984,unknown,Ct
Lon McCallister,1937,1954,McCallister Jnr,Herbert Alonzo,M,1923,1984,callow,Am
David McCallum,1956,1983,McCallum,David,M,1933,1984,slightly built juvenile lead,Br
John McCallum,1944,1971,McCallum,John,M,1917,1984,lead,Au
Neil McCallum,1962,1964,McCallum,Neil,M,1929,1976,beefy,Ca
Mercedes McCambridge,1950,1979,McCambridge,Mercedes,F,1918,1984,intense; unpredictable,Am
Andrew McCarthy,,,,,M,,1984,unknown,Ct
Kevin McCarthy,1952,1983,McCarthy,Kevin,M,1914,1984,lead; character,Am
Rue McClanahan,,,,,,,1984,unknown,Ct
Fergus McClelland,,,,,M,,1984,unknown,Ct
Sean McClory,1949,1968,McClory,Sean,M,1923,1984,unknown,Ir
Doug McClure,1959,1976,McClure,Doug,M,1935,1984,lead,Am
Marc McClure,,,,,M,,1984,unknown,Ct
Keith McConnell,,,,,M,,1984,unknown,Ct
Richard McConnell,,,,,M,,1984,unknown,Ct
Kent McCord,,,,,M,,1984,unknown,Ct
Patty McCormack,1956,1968,McCormack,Patty,F,1945,1984,juvenile,Am
F.J. McCormick,1937,1946,Judge,Peter,M,1891,1947,character,Ir
Myron McCormick,1937,1961,McCormick,Myron,M,1908,1962,wry-faced,Am
Pat McCormick,,,,,,,1984,unknown,Ct
Alec McCowen,1957,1983,McCowen,Alec,M,1925,1984,youthful,Br
Tim McCoy,1926,1965,McCoy,Tim,M,1891,1978,cowboy,Am
Van McCoy,,,,,M,,1984,unknown,Ct
Jeff McCracken,,,,,M,,1984,unknown,Ct
Jody McCrea,1963,,McCrea,Jody,M,,,athletic,Am
Joel McCrea,1929,1976,McCrea,Joel,M,1905,1990,athletic,Am
Hattie McDaniel,1933,1952,McDaniel,Hattie,M,1895,1952,cheerful; immense presence; servant,Am
Hugh McDermott,1938,1972,McDermott,Hugh,M,1908,1972,hearty transatlantic type,Br
Ruth McDevitt,1962,1974,McDevitt,Ruth,F,1895,1976,character,Am
Marie McDonald,1942,1963,Frye,Marie,F,1923,1965,luscious,Am
Kit McDonough,,,,,M,,1984,unknown,Ct
Betty McDowall,1957,1976,McDowall,Betty,F,,1984,wife,Au
Malcolm McDowell,1967,1983,McDowell,Malcolm,M,1943,1984,fashionable,Br
Roddy McDowall,1936,1982,McDowall,Roddy,M,1928,1984,child,Br
John McEnery,1968,1978,McEnery,John,M,1945,1984,lead,Br
Peter McEnery,1960,1978,McEnery,Peter,M,1940,1984,lead,Br
Arnie McEnroe,,,,,M,,1984,unknown,Ct
Spanky McFarland,1933,1943,McFarland,George Emmett,M,1928,1993,child,Am
Spanky McFarland,1974, ,differentname,gn,M,,,alien?,Am
Darren McGavin,1946,1980,McGavin,Darren,M,1922,1984,character lead,Am
Vonetta McGee,1969,1978,McGee,Vonetta,F,,,unknown,Am
Everett McGill,,,,,M,,1984,unknown,Ct
Ted McGinley,,,,,M,,1984,unknown,Ct
John McGiver,1957,1975,McGiver,John,M,1913,1975,worried; owl-like,Am
Frank McGlynn,1931,1940,McGlynn,Frank~sr,M,1867,1951,president,Am
Patrick McGoohan,1955,1983,McGoohan,Patrick,M,1928,1984,lead,Am
Elizabeth McGovern,1980,1983,McGovern,Elizabeth,F,1961,1984,lead,Am
Alec McGowan,,,,,M,,1984,police chief,Br
Ali McGraw,1969,1992,McGraw,Ali,F,,,lead,Am
Charles McGraw,1943,1976,McGraw,Charles,M,1914,1980,tough roles,Am
Angela Punch McGregor,,,,,F,,1984,unknown,Ct
Julie McGregor,,,,,F,,1984,unknown,Ct
Biff McGuire,1955,1976,McGuire,Biff,M,1926,1984,character,Am
Bill McGuire,,,,,M,,1984,unknown,Ct
Don McGuire,1948,1982,McGuire,Don,M,1919,1984,dull,Am
Dorothy McGuire,1943,1983,McGuire,Dorothy,F,1919,1984,gentle; sympathetic,Am
Marlena McGuire,,,,,F,,1984,unknown,Ct
Stephen McHattie,1970,1982,McHattie,Stephen,M,,,lean,Am
Frank McHugh,1928,1967,McHugh,Frank,M,1899,1981,amiable,Am
John McIntire,1950,1981,McIntire,John,M,1907,1984,spare; laconic,Am
Michael McKean,,,,,M,,1984,unknown,Ct
Lonette McKee,,,,,F,,1984,unknown,Ct
Ian McKellen,1969,1983,McKellen,Sir Ian,M,1935,1984,unknown,Br
Siobhan McKenna,1948,1965,McKenna,Siobhan,F,1923,1986,fiery,Ir
T.P. McKenna,1970,1979,McKenna,T.P.,M,,1984,general purpose,Ir
Virginia McKenna,1952,1977,McKenna,Virginia,F,1931,1984,demure; spirited,Br
Kate McKenzie,,,,,F,,1984,unknown,Ct
Leo McKern,1955,1981,McKern,Reginald,M,1920,1984,character,Au
Norman McKinnel,,,,,M,,1984,unknown,Ct
Bill McKinney,,,,,,,1984,unknown,Ct
Victor McLaglen,1920,1958,McLaglen,Victor,M,1883,1959,burly; good-humored,Br
Hollis McLaren,,,,,,,1984,unknown,Ct
Gibb McLaughlin,1921,1957,McLaughlin,Gibb,M,1884,1960,emaciated features,Br
John C. McLaughlin,,,,,M,,1984,unknown,Ct
Diana McLean,,,,,F,,1984,unknown,Ct
Catherine McLeod,1946,1964,McLeod,Catherine,F,1924,1984,lead,Am
Allyn Ann McLerie,1948,1976,McLerie,Allyn Ann,F,1926,1984,lead; dancer,Ca
John McLiam,,,,,M,,1984,unknown,Ct
Marshall McLuhan,1977,,McLuhan,Marshall,M,,1984,author,Ct
Ed McMahon,,,,,M,,1984,unknown,Ct
John McMartin,,,,,M,,1984,unknown,Ct
Kenneth McMillan,1974,1982,McMillan,Kenneth,M,,,burly,Am
Barbara McNair,1969,1971,McNair,Barbara,F,,,singer,Am
Stephen McNally,1943,1972,McNally,Horace,M,1913,1984,lead,Am
Maggie McNamara,1953,1963,McNamara,Maggie,F,1928,1978,capable,Am
Gus McNaughton,1930,1946,McNaughton,Gus,M,1884,1969,comedy,Br
Howard McNear,1954,1966,McNear,Howard,M,1905,1969,comedy,Am
Patrick McNee,1943,1984,McNee,Patrick,M,1922,1984,smooth,Br
Claudia McNeil,,,,,F,,1984,unknown,Ct
Kathryn McNeil,,,,,F,,1984,unknown,Ct
Kristy McNichol,1976,1982,McNichol,Kristy,F,1963,1984,juvenile,Am
Maggie McOmie,,,,,F,,1984,unknown,Ct
Butterfly McQueen,1939,1970,McQueen,Thelma,F,1911,1984,character,Am
Steve McQueen,1956,1980,McQueen,Steve,M,1930,1980,tough; sexy,Am
Frank McRae,,,,,M,,1984,unknown,Ct
Ian McShane,1962,1983,McShane,Ian,M,1942,1984,lead,Br
Michael McShane,1991,,McShane,Michael,M,1955,1984,rotund,Am
Robert McWade,1924,1938,McWade,Robert,M,1865,1938,elderly crotch,Am
Audrey Meadows,1960,,,,M,,1984,lively,Am
Jayne Meadows,1947,1947,Meadows,Jayne,F,1920,1984,unsympathetic,Am
Joyce Meadows,,,,,F,,1984,unknown,Ct
Anne Meara,1969,1982,Meara,Anne,F,1929,1984,comedienne,Am
DeAnn Mears,,,,,F,,1984,unknown,Ct
Sylvie Meda,,,,,F,,1984,unknown,Ct
Kay Medford,1942,1978,Medford,Kay,F,1914,1980,character,Am
Patricia Medina,1942,1968,Medina,Patricia,F,1921,1984,lead,Br
Michael Medwin,1946,1970,Medwin,Michael,M,1923,1984,light character comedian,Br
Donald Meek,1928,1946,Meek,Donald,M,1880,1946,bald; worried; timid,Br
George Meeker,,,,,M,,1984,unknown,Ct
Ralph Meeker,1951,1980,Rathgeber,Ralph,M,1920,1984,strong silent,Am
Thomas Meighan,1916,1934,Meighan,Thomas,M,1879,1936,silent lead,Am
John Meillon,1959,1966,Meillon,John,M,1934,1984,character,Au
Mariangela Melato,,,,,F,,1984,unknown,Ct
Claudine Melgrave,,,,,F,,1984,unknown,Ct
George S. Melies,1896,1912,Melies,George S.,M,1861,1938,conjurer,Am
Marisa Mell,1964,1977,Mell,Marisa,F,1929,1984,lead,Fr
Michael Melling,,,,,M,,1984,unknown,
Fuller Mellish~jr.,,,,,M,,1984,unknown,Ct
Breno Mello,,,,,M,,1984,unknown,Ct
JeanPierre Melville,1947,1972,Grumbach,J.P.,M,1917,1973,unknown,
Sam Melville,,,,,M,,1992,unknown,Ct
Murray Melvin,1960,1982,Melvin,Murray,M,1932,1984,light character,Br
Mauro Mendonco,,,,,M,,1992,unknown,Ct
Adolphe Menjou,1916,1953,Menjou,Adolphe,M,1890,1963,dapper,Fr
Doro Merande,1940,1967,Merande,Doro,F,1898,1975,acidulous; eccentric; whimsical spinster,Am
Nerida Mercado,,,,,F,,1992,unknown,Ct
Beryl Mercer,1923,1939,Mercer,Beryl,F,1882,1939,mothers; maids; landladies,Br
Vivien Merchant,1966,1977,Merchant,Vivien,F,1929,1983,unknown,Br
Michele Mercier,1961,1963,Mercier,Michele,F,1942,1984,lead,Fr
Melina Mercouri,1954,1978,Mercouri,Melina,F,1923,1994,volatile; flashing smile,Gr
Burgess Meredith,1936,1982,Burgess,George,M,1908,1997,ornery,Am
Don Meredith,,,,,M,,1992,unknown,Ct
Lee Meredith,,,,,F,,1992,unknown,Ct
John Merivale,,, Merivale,John,M,,1990,unknown,Ct
Philip Merivale,1935,1945,Merivale,Philip,M,1886,1946,unknown,Br
Lee Meriwether,1959,1980,Meriwether,Lee,F,1935,1984,spooky,Am
Una Merkel,1930,1966,Merkel,Una,F,1903,1986,character,Am
Ethel Merman,1930,1976,Zimmermann,Ethel,F,1908,1984,brassy; vibrant,Am
Mary Merrall,1920,1966,Lloyd,Mary,F,,1984,fey; absent-minded,Br
Dina Merrill,1957,1980,Rumbough,Nedenia Hutton,F,1928,1984,lead,Am
Gary Merrill,1944,1974,Merrill,Gary,M,1914,1990,dependable; tough-looking,Am
George Merritt,1930,1970,Merritt,George,M,1890,1977,solid presence,Br
Jane Merrow,1961,1981,Merrow,Jane,F,1941,1984,lead,Br
William Mervyn,1952,1976,Pickwood,William,M,1912,1976,portly; plummy-voiced,Br
Hannes Messemer,1956,1966,Messemer,Hannes,M,1924,1984,general purpose,Ge
Mayo Methot,1931,1949,Methot,Mayo,F,1904,1951,unknown,Am
Art Metrano,1971,1983,Metrano,Art,M,1937,,chubby character,Am
Jim Metzler,,,,,M,,1992,unknown,Ct
Emile Meyer,1951,1970,Meyer,Emile,M,1903,1984,crooked cop,Am
Torben Meyer,1935,1947,Meyer,Torben,M,,1984,character,Ge
Vittorio Mezzoglomo,,,,,M,,1992,unknown,Ct
Ralph Michael,1938,1968,Shotter,Ralph Champion,M,1907,1984,stiff-upper-lip,Br
Beverly Michaels,1949,1955,Michaels,Beverly,F,1927,1984,lead,Am
Dolores Michaels,1957,1961,Michaels,Dolores,F,1930,1984,lead,Am
Drew Michaels,,,,,M,,1992,unknown,Ct
Jordan Michaels,,,,,M,,1992,unknown,Ct
Matt Michaels,,,,,M,,1992,unknown,Ct
Keith Michell,1957,1982,Michell,Keith,M,1926,1984,lead,Au
Ann Michelle,,,,,F,,1992,unknown,Ct
Charlotte Michelle,,,,,F,,1992,unknown,Ct
Charles Middleton,1932,1949,Middleton,Charles,M,1874,1949,villainous,Am
Guy Middleton,1932,1970,Middleton-Powell,Guy,M,1906,1973,hearty-type; amiable idiot,Br
Ray Middleton,1940,1955,Middleton,Ray,M,1908,1984,singer,Am
Robert Middleton,1955,1971,Middleton,Robert,M,1911,1977,weighty; villain,Am
