pcode,did,lname,fname,,,background/0,yearstart,yearend
D,HFr,Fregonese,Hugo,1908,,Ar,1950,1953
A,HaF,French,Harold,1897,,Br,1936,1955
D,LlF,French,Lloyd,,,,1933,
E,ChF,Frend,Charles,1909,1977,Br,1942,1967
C,KFr,Freund,Karl,,,Ge,1932,
W,BFr,Freundlich,Bart,,,Ge,1997,
C,RnF,Fricke,Ron,19xx,,Am,1986,
D,WFr,Friedkin,William,1939,,Am,1964,1980
D,HoF,Friedman,Howard,,,Am,1990,
D,xFr,Friend,fn,,,Am,1970,
D,LFr,Frost,Lee,,,Am,1962,
D,xFl,"Fr""ohlich",gn,,,Ge,1931,
D,SuF,Froemke,Susan,,,Ct,1998,
D,WlF,Fruet,William,,,Am,1981,
D,KuF,"Fr""uh",Kurt,,,Swiss,1958,159
W,EMF,Frye,E. Max,,,Ct,1993,
D,TAF,Fucci,Thomas A.,19xx,,Am,1988,
D,RFu,Fuest,Robert,,,Am,1970,1976
B,KFu,Fukasakyu,Kinjo,,,Ja,1968,1980
D,SaF,Fuller,Samuel,1911,1997,Am,1949,1972
D,JuF,Fukuda,Jun,,,Ja,1966,1975
D,VFu,Funari,Vicky,,,,1999,
V,,Furst,Anton,,1991,Ct,1989,
D,xFu,Furtlinger,fn1,19xx,199x,Ct,1997,
D,SJF,Furie,Sidney J.,1933,,Ca,1957,1983
D,SGa,Gabel,Shainee,,199x,,1997,
D,UrG,Gad,Urban,19xx,,Ct,1911,
D,IGg,Gage,John,,,Ct,1948,
W,VGa,Gallo,Vincent,,,Ct,1998,
D,CGl,Gallone,Carmine,1886,1973,It,1914,1962
D,SaG,Gallu,Samuel,19xx,,Ct,1967,
D,RtG,Gam,Rita,1940,,Am,1990,
D,AG,Gance,Abel,,1981,Fr,1919,1937
B,,Garcia Marquez,Gabriel,,,Ar,1964,1991
D,NcG,Garcia,Nicole,,,Am,1998,
D,RsG,Garcia,Risa Bramon,,,Am,1999,
D,HGr,Gardner,Herb,,,Am,1976,
D,PGa,Gardos,Peter,,,Hu,1985,
D,JGf,Garfein,Jack,,,,1961,
D,TG,Garnett,Tay,1895,1977,Am,1928,1973
D,PhG,Garrel,Phillip,,199x,Fr,1993,
D,LGr,Garrett,Lila,,,Am,1980,
D,TGr,Garrett,Tony,,,Am,1983,
D,MkG,Garris,Mick,,,Ct,1992,
D,LoG,Gast,Leon,,199x,,1974,1997
D,xGa,Gastyne,gn,,,Fr,1929,
D,HoG,Gaugh,Homer,19xx,,Ct,1977,
A,NGp,Gaup,Nils,1955,,No,1990,
D,LGs,Gasnier,Louis J.,1882,1963,Am,1925,1942
D,DGz,Gaziadis,Dimitris,19xx,,Gr,1929,
D,GiG,Gazcon,Gilberto,,,Am,1966,
D,SGe,Gedeon,Sasa,,,Czeck,2000,
P,,Geffen,David,19xx,,Am,1985,1994
D,DGl,Geller,Dan,19xx,,Am,1993,
D,JzG,Gemes,Jozsef,19xx,,Ct,1994,
D,JG,Genet,Jean,19xx,,Fr,1950,
D,AGe,Genina,Augusto,19xx,,It,1923,
D,BuG,George,Burton,19xx,,Am,1913,1915
D,VGg,Georgiadis,Vassilis,19xx,,Gr,1965,
D,HGe,Gerima,Haile,19xx,,Ct,1993,
D,MGe,Gering,Marion,1901,1977,,1932,1950
D,PiG,Germi,Pietro,1914,1974,It,1945,1973
D,GeG,Gerrard,Gene,,,Am,1931,
M,,Gershwin,George,19xx,1937,Am,1937,
M,,Gershwin,Ira,19xx,19xx,Am,1937,
D,NiG,Gessner,Nicolas,,,Am,1976,
W,SiG,Getin,Sinan,19xx,,,1987,
D,RGt,Ghatak,Ritwiik,19xx,19yy,,1955,1965
D,GGh,Ghose,Goutam,19xx,,,1992,1994
D,CdG,Gibbons,Cedric,1915,1951,Am,1934,
D,,Gibbons,Duncan,1952,1993,Br,,
A,JGb,Gibbons,Joe,,,Am,1990,
D,AlG,Gibson,Alan,1938,,Br,1969,1984
D,BrG,Gibson,Brian,,,Am,1986,1993
A,MlG,Gibson,Mel,,,Au,1993,1995
D,BGt,Bilbert,Brian,19xx,,GB,1995,
A,LGt,Gilbert,Lewis,1920,,Br,1947,1991
B,,Schwenck,William,1836,1911,Br,1939,1983
D,DGi,Giler,David,,,,1975,
D,StG,Gillard,Stuart,,,Am,1981,
D,JiG,Gillespie,Jim,19xx,199x,Ct,1997,
W,TGi,Gilliam,Terry,1940,199x,Am,1975,1998
W,SGi,Gilliat,Sidney,1908,,Br,1943,1965
B,,Gilliatt,Penelope,1932,1993,Br,,
D,IGi,Gilling,John,1912,,Br,1958,1960
D,FDG,Gilroy,Frank D.,,,Am,1978,
D,MMG,Ginsberg,Milton Moses,19xx,,Ct,1973,
D,CGi,Gion,Christian,19xx,,Fr,1981,
D,BGi,Girard,Bernard,,,,1962,1965
D,FGd,Girard,Francois,,,,1994,
D,JGi,Girault,Jean,19xx,,Fr,1963,
D,FGi,Girod,Francis,19xx,,Fr,1978,
D,WGi,Girdler,William,,,Am,1976,1978
D,MaG,Gisler,Marcel,19xx,,Ge,1985,
D,AGi,"Gita""i",Amos,19xx,19yy,Ct,1999,
D,PMG,Glaser,Paul Michael,,,Ct,1987,
D,AGs,Glassman,Arnold,19xx,,Ct,1993,
D,LLG,Glatter,Lesli Linka,,,Ct,1996,
W,RGl,Glatzer,Richard,19xx,,Ct,1994,
D,JGz,Glatzer,Jonathan,19xx,,GB,2001,
D,IG,Glen,John,,,Br,1981,1989
D,PeG,Glenville,Peter,1913,,Br,1954,1967
D,JGl,Glickenhaus,James,,,Am,1980,
P,PGl,Glickler,Paul,,Ct,,1991,
P,AGl,Glimcher,Arnold,,,,1991,
D,VGl,Glowna,Vadim,19xx,,Ge,1992,
D,JGd,Goddard,Jim,19xx,,Fr,1992,
D,JLG,Godard,Jean-Luc,1930,,Fr,1960,1980
A,PGy,Godfrey,Peter,1899,1970,Br,1939,1956
D,MeG,Golan,Menahem,1931,,Is,1966,1979
D,SdG,Goldbacher,Sandra,19xx,19yy,Ct,1998,
D,JGo,Gold,Jack,1930,,Br,1968,1988
D,WGo,Goldbeck,Willis,,,Am,1946,
D,GDG,Goldberg,Gary David,,,,1989,
D,LGG,Goldfarb,Lawrence G.,,,Am,1980,
W,,Goldman,Bo,19xx,199x,Ct,1975,1992
B,,Goldman,James,19xx,199x,Ct,1968,1976
B,,Goldman,William,19xx,199x,Ct,1968,1997
M,,Goldsmith,Jerry,,,Am,1959,1963
D,JGs,Goldstone,James,1931,,Am,1964,1980
P,,Goldfish,Sam,,,Po,,
A,TGw,Goldwyn,Toni,,,Am,1999,
D,AcG,Gonsalvi,Achille,19xx,,It,1913,
D,MGy,Gondry,Michek,1963,2004,Fr,1989,2006
D,xGc,Goodchild,gn,,,Br,1981,
D,FrG,Goodwin,Fred,19xx,,Ct,1991,
D,LeG,Goodwins,Leslie,1899,1669,Br,1938,1954
D,AGo,Gopalakrishnan,Adoor,,,In,1990,
D,BIG,Gordon,Bert I.,,,Am,1972,
W,KeG,Gordon,Keith,,,Am,1992,
D,MiG,Gordon,Michael,1909,,Am,1942,1970
D,RbG,Gordon,Robert,,,Am,1955,
P,,Gordon,Richard,,,Br,1978,
D,SGo,Gordon,Steve,,,Am,1981,
D,SuG,Gordon,Stuart,,,Am,1981,1994
D,BeG,Gordy,Berry,,,Am,1976,
D,CGo,Goretta,Charles,,,Fr,1976,
D,CGy,Gormley,Charles,19xx,,Br,1987,
D,MGn,Gornick,Michael,,,Ct,1987,
D,MGo,Gorris,Marleen,19xx,199x,Du,1995,
D,RGo,Gosnell,Raja,,,Ct,1999,
A,CaG,Gottlieb,Carl,,,Ct,1981,
D,CSG,Gould,C.S.,,,Ct,1955,
D,AJG,Goulding,Alfred J.,1896,1972,Am,1925,1940
D,EG,Goulding,Edmund,1916,1973,Br,1925,1958
D,WiG,Graham,William,,,Am,1969,1971
P,,Grainger,J.Edmund,,,Am,1935,1976
D,SeG,Grall,Sebastien,,,Fr,1995,
D,PGD,GranierDeferre,Pierre,19xx,,Fr,1974,
D,BnG,Grant,Brian,,,Am,1983,1997
D,JEG,Grant,James Edward,,,Am,1947,
D,AGr,Grasshoff,Alex,,,Ct,1977,
D,WGr,Grauman,Walter,,,,1969,1978
D,GGy,Gray,gary,,199x,,1998,
D,IGy,Gray,John,,199x,,1996,
D,GoG,Grayson,Godfrey,,,Br,1950,1962
D,AEG,Green,Alfred E.,1889,1960,Am,1912,1953
D,DGr,Green,David,,,,1988,
C,GGr,Green,Guy,1913,,Br,1954,1977
D,HAG,Green,Hilton S.,,,,1960,
D,WaG,Green,Walton,,,,1978,
D,DaG,Greene,David,,,Br,1974,1991
D,xGr,Greene,,,,,1974,
D,PGr,Greenaway,Peter,,,Br,1985,1999
D,PGg,Greengrass,Paul,19xx,2004,CC,1989,
P,,Greenhut,Robert,,,Am,1960,1985
D,BGr,Greenspan,Bud,,,Am,1980,
D,MGw,Greenwald,Margaret,1958,,Am,1988,1993
D,RGr,Greenwald,Robert,,,Am,1980,1990
M,JGr,Gremillon,Jean,1901,1958,Fr,1931,1949
D,ETG,Greville,Edmond T.,,,Br,1931,1961
D,IGs,Greyson,John,,,Ca,1988,1994
D,SGr,Grieco,Sergio,,,Am,1980,
D,ToG,Gries,Tom,1922,1977,Am,1955,1980
P,DWG,Griffith,David Wark,1874,1948,Am,1908,1930
D,CGr,Griffith,Charles,,,Am,1976,
D,EHG,Griffith,Edward H.,1894,,Am,1921,1946
P,,Griffith,Raymond,,,Am,1935,
D,MGr,Griffiths,Mark,,,Am,1984,
D,GrG,Grigoriou,Grigoris,,,Gr,1951,
D,AuG,Grimaldi,Aurelio,19xx,,Ct,1993,
D,NGr,Grinde,Nick,,,Am,1930,1940
D,UlG,Grosbard,Ulu,1929,,Be-Am,1968,1999
D,AGm,Grossman,Adam,,199x,,1996,
V,,Grot,Anton,19xx,,Po,1922,1945
B,,Grubb,Davis,,,Am,1955,1964
D,KGr,Grune,Karl,1890,1962,Cz,1923,1937
M,,Grusin,Dave,,,Am,1967,1989
D,OhG,Guare,Ohn,,,Ct,1990,
D,EGz,Guazzoni,Enrico,19xx,,It,1913,
P,,Guber,Peter,1942,,Am,1968,1989
D,RGu,Guerra,Ruy,,,Br,1988,1990
D,ChG,Guest,Christopher,,,,1989,1997
W,VGu,Guest,Val,1911,,Br,1943,1983
D,IGu,Guillermin,John,1925,,Br,1949,1984
W,SG,Guitry,Sacha,1885,1957,,1915,1957
D,YlG,"G""uney",Ylmaz,,,,1982,
A,BGu,Gunn,Bill,,,Ct,1973,
D,SGu,Gutierrez,Sebastian,1970,,Ct,1998,
D,AlG,Guy,Alice,18xx,,Fr,1896,1908
D,SGy,Gyllenhaal,Steve,,,Ct,1992,1994
W,ChH,Haas,Charles,,,Am,1959,1963
D,GeH,Haas,George,,,Am,1999,
W,HgH,Haas,Hugo,,,Am,1951,
D,PhH,Haas,Philip,,,Am,1993,1996
D,TaH,Hackford,Taylor,,,,1980,1997
W,RHd,Haedrich,Rolf,,199x,Ge,1963,1964
D,SHH,Hadary,Susan Hannah,,,Ct,1999,
P,WHa,Haggar,William,1851,1924,Br,1902,
D,PHa,Haggard,Piers,,,Am,1980,
D,RaH,Haines,Randa,,,Am,1989,
D,BHd,Haldane,Bert,,,Br,1913,
D,JfH,Hale,Jeffrey,,,Am,1968,
D,WiH,Hale,William,,,Am,1980,
P,JHr,Haley,Jack Jr.,,,Am,1974,
D,AlH,Hall,Alexander,1894,1968,Am,1932,1956
C,,Hall,Conrad L.,1926,19yy,Am,1967,1999
D,PrH,Hall,Peter,,,Br,1983,
D,VCH,Hall,Vondie Curtis,,199x,,1997,
D,DrH,Hallenbeck,Darrell,,,Ct,1966,
V,DnH,Haller,Danny,,,Am,1969,
D,LHa,"Hallstr""om",Lasse,,,Sw,1987,1999
P,,Halmi,"Robert Sr.",19xx,19yy,Ct,1995,1999
D,VHa,Halperin,Victor,,,Am,1932,
W,RHa,Hamer,Robert,1911,1963,Br,1945,1960
D,DdH,Hamilton,David,,,,1983,
D,WlH,Hamilton,William,,,,1936,
D,GH,Hamilton,Guy,1922,,Br,1952,1982
D,NHa,Hamm,Nick,,,Br,1998,
B,,Hammett,Dashiell,1894,1961,Am,1931,1943
D,CHp,Hampton,Christopher,,199x,,1996,
D,IHc,Hancock,John,,,Am,1973,
D,DvH,Hand,David,,,Am,1937,
D,VHd,Handa,Vipin,,,In,1997,
D,PeH,Handke,Peter,,,Ge,1988,
D,SuH,Hani,Susumu,,,Ct,1955,
A,THk,Hanks,Tom,19xx,,Am,1992,1998
D,RfH,Hansen,Rolf,1907,1981,Sw,1937,1954
D,CHa,Hanson,Curtis,,,Am,1982,1995
D,KHa,Hara,Kazuo,,,Ja,1987,
D,JHy,Hardy,Joseph,,,Am,1978,
D,RHy,Hardy,Robin,,,Am,1978,
D,TsH,Hark,Tsui,,,HK,1986,
D,VtH,Harlan,Veit,1899,1964,Ge,1936,1964
D,ReH,Harlin,Renny,,,,1990,1999
W,RHg,Harling,Robert,,,Ct,1996,
D,IHw,Harlow,John,,,Ct,1940,
D,RbH,Harmon,Robert,19xx,,Ct,1993,
P,,Harper,fn,,,Am,1990,
D,CuH,Harrington,Curtis,1928,,Am,1963,1985
D,DHr,Harris,Damian,,,Am,1991,1994
D,DeH,Harris,Denny,,,Am,1980,
D,FrH,Harris,Frank,,,Am,1991,
D,LlH,Harris,Leslie,,,,1993,
P,JBH,Harris,James B.,,,,1965,1993
W,WHj,Harris,Wendell Jr.,,,Am,1991,
W,,Harrison,Joan,1915,,Br,1939,1965
D,IHs,Harrison,John,,,,1990,
D,MHa,Harrison,Matthew,19xx,199x,Ct,1997,
D,MyH,Harron,Mary,,,Am,1996,
V,,Harryhausen,Ray,,,Am,1953,1983
D,HvH,Hart,Harvey,,,Am,1963,1964
D,,bn,gn,1904,1961,Am,,
W,HlH,Hartley,Hal,,,Am,1990,1991
W,DHa,Hartman,Don,1901,1958,Am,1947,1951
D,AHv,Harvey,Anthony,,,Am,1968,
D,RHv,Harvey,Rupert,,,Ct,1986,
D,HHa,Hathaway,Henry,1998,,Am,1932,1972
D,WjH,Has,Wojciech,19xx,19yy,,1965,
D,ByH,Haskin,Byron,1899,,Am,1927,1967
D,LiH,Hasani,Linda,19xx,,Ct,1990,
D,JHa,Hastrup,Jannik,,,,1998,
W,KHt,Hatta,Kayo,,,Am,1993,
D,THy,Haynes,Todd,19xx,,Ct,1989,1995
W,HH,Hawks,Howard,1896,1977,Am,1926,1970
D,GHa,Hawn,Goldie,,,Ct,1998,
E,SHa,Hayers,Sidney,1921,,Br,1958,1974
W,,Hayes,John Michael,1919,,Am,1954,1966
V,,Head,Edith,,1981,Am,1940,
D,JHp,Heap,Jonathan,,,Am,1993,
B,BeH,Hecht,Ben,1894,1964,Am,1935,1946
D,AmH,Heckerling,Amy,,,Am,1982,
D,RgH,Hedden,Roger,,,Ct,1998,
D,JoH,Heer,Johanna,,,Os,1985,
D,ViH,Heerman,Victor,1892,,,1920,1930
D,RHf,Heffron,Richard T.,,,Am,1976,
D,StH,Heisler,Stuart,,,Am,1941,1950
D,DHe,Heller,Daniel,,,,1970,
C,,Heller,Otto,1896,1970,Cz,1936,1970
W,,Hellinger,Mark,1904,1948,Am,1946,
D,JeH,Hellman,Jerome,,,Am,1966,
D,MoH,Hellman,Monte,,,Am,1972,1977
D,OlH,Assonitis,Sonia,,,It,1977,
D,RHk,Hemecker,Ralph,19xx,,Ct,1993,
A,DaH,Hemmings,David,1941,,Am,1972,1978
D,JHd,Hendrie,James,19xx,,Ct,1989,
D,KHe,Henkel,Kim,19xx,199x,Ct,1997,
D,HoH,Henley,Hobart,,,Am,1930,
D,FHe,Hennenlotter,Frank,,,Am,1981,1990
D,AHJ,Smahl,Astrid,1914,,,1943,1978
D,BHJ,Henning-Jensen,Baree,1908,,Da,1941,1975
A,PaH,von Henreid,Paul George Julius,1907,,,1951,1965
D,JHq,Henriques,Julian,,,Ct,1998,
W,BuH,Henry,Buck,,1992,Am,1978,
P,,Henson,Cheryl,1951,,Am,1990,
P,,Henson,Jim,,1989,Am,1990,
D,RHe,Henson,Robbie,,d,Am,1990,
D,PHz,Henzell,Perry,,,Jamaica,1973,
D,FHH,Herbert,F.Hugh,,,Ct,1947,1962
D,OvH,Herbrich,Oliver,19xx,,Ge,1993,
D,SHk,Herek,Stephen,19xx,,Ct,1993,1998
D,HHe,Harvey,Harold Herk,1924,,Am,1962,
D,JHH,Hermosillo,Jaime Humberto,,,Me,1988,
D,DHx,Heroux,Denis,,,Am,1980,
D,RHr,Herrington,Rowdy,,,Am,1992,
M,,Herrmann,Bernard,1911,1975,,1941,1976
D,MaH,Herskovitz,Marshall,19xx,,Am,1993,1998
D,xHe,Herz,,,,,1982,
D,WH,Herzog,Werner,1942,,Ge,1967,1999
D,JHe,Herman,Jean,19xx,,Fr,1968,
W,MHe,M.Herman,Mark,19xx,,Ct,1997,
M,,Herrmann,Bernard,,,,,
D,GoH,Hessler,Gordon,1930,,Am,1961,1978
A,CH,Carter,John Charlton,1924,,Am,1971,1982
D,EHe,Heumann,Eric,,,Ct,1998,
D,PHw,Hewitt,Pete,,,Am,1991,
W,DoH,Heyes,Douglas,,,Am,1966,
P,,Heyward,Loius M.,,,,1964,
D,JHi,Hibbs,Jesse,1906,,Am,1953,1958
P,SeH,Hicks,Sir Seymour,1871,1949,Br,1922,1948
D,ScH,Hicks,Scott,,199x,,1996,
D,CoH,Higgins,Colin,,,Am,1971,1982
B,1951,Highsmith,Patricia,1921,1995,,,
D,BHl,Hill,Bob,,,Am,1940,
D,GHl,Hill,George,1888,1934,Am,1923,1933
D,GRH,Hill,George Roy,1922,,Am,1962,1984
D,JkH,Hill,Jack,,,Am,1965,
W,JaH,Hill,James,1919,,Br,1947,1973
D,,Hill,Robert F.,,,Ct,1938,
W,,Hill,Robert,,,Ct,1960,
D,SiH,Hill,Sinclair,1894,1945,Br,1920,1938
W,WHl,Hill,Walter,1942,,Am,1975,1993
D,ArH,Hiller,Arthur,1923,,Ca,1957,1989
D,DHi,Hills,David,,,,1983,
D,LaH,Hillyer,Lambert,,,Ct,1936,
D,AtH,Hilton,Arthur,19xx,,Ct,1953,
D,TyH,Himena,Tadeyoshi,,,Ja,1977,
P,,Hinds,Anthony,,,Ct,1965,
D,H,Hitchcock,Sir Alfred,1899,1981,Br,1925,1976
D,,Hirokawa,Kazuyuki,,,Ja,1979,
D,KHi,Hirokazu,Kore-eda,19xx,19yy,Ja,1990,
P,,Hirsch,Steven,1961,,Am,1998,
D,LHz,Hirszman,Leon,,1988,Bz,1964,1988
D,GHb,Hoblit,Gregory,,,Ct,1996,
D,WeK,Hochbaum,Werner,,,Ge,1929,
D,MHo,Hodges,Mike,,,Ct,1980,
C,,Hodgson,James Samuel,1890,1966,Br,1909,1948
P,GHo,Hoellering,Goerge,1999,1980,Os,1951,
D,HeH,Hoffman,Herman,,,,1955,1957
D,KuH,Hoffman,Kurt,1912,,Ge,1941,1958
D,MiH,Hoffman,Michael,,,Am,1991,1995
D,JHs,Hofsiss,Jack,,,Am,1982,
D,DHg,Hogan,David,,,Ct,1996,
D,JPH,Hogan,James P.,1891,1943,Am,1937,1944
A,PJH,Hogan,Paul J.,,,Au,1994,1997
P,,Holbrook,Hal,19xx,199x,Am,1970,
W,AgH,Holland,Agnieszka,1948,,Po,1988,
D,THo,Holland,Ted,,,Am,1985,1989
D,AHo,Holleb,Alan,,,,1988,
P,SHo,Holt,Seth,1923,1971,Br,1958,1971
D,InH,Honda,Inoshiro,,,Ja,1957,
W,MdH,Hondo,Med,,,Mauritania,1994,
D,EHo,Hong,Elliot,,,Am,1983,
D,HHm,Honigmann,Heddy,,,,1999,
D,ToH,Hooper,Tobe,,,Am,1974,1986
A,DHo,Hopper,Dennis,1935,,Am,1969,1988
D,EMH,Hopper,E.Mason,,,Am,1924,
D,JHo,Hopper,Jerry,1907,,Am,1953,1970
D,KeH,Hooks,Kevin,,,Ct,1991,
D,AHp,Hopkins,Anthony,,,Ct,1996,
D,SHp,Hopkins,Stephen,19xx,,Ct,1991,
D,SyH,Horman,Sherry,19xx,,Am,1981,
D,LeH,Leonard,Horn,,,Am,1959,1962
P,,Hornblow,Arthur Jr.,1893,1983,Am,1929,1963
D,JWH,Horne,James W.,1880,1942,Am,1920,1942
D,HHo,Horner,Harry,,,Am,1952,1956
A,BHo,Hoskins,Bob,,,Am,1989,
D,RHn,Robert,Hossein,,,Fr,1964,
D,JHj,Houck,"Joy Jr.",,,Am,1976,
D,IHk,Hough,John,,,Am,1971,
D,IHm,Houseman,John,,,Am,1980,
D,RoH,Houston,Robert,,,Am,1980,
A,LHo,Stainer,Leslie,1890,1943,Hu,1941,1943
D,CHo,Howard,Cy,1915,,Am,1969,1976
A,RHo,Howard,Ronald,1953,,Am,1982,1989
D,WKH,Howard,William K.,1899,1954,Am,1924,1943
C,JmH,Wong,Tung Jim,1899,1976,Ch,1917,1975
A,CTH,Howell,C. Thomas,,,Am,1996,
D,PHo,Howitt,Peter,,,Ct,1998,
D,IHo,Howley,John,,,Ct,1993,
D,HHH,Hsiaa-hsien,Hou,,199x,Taiwan,1995,
D,LuH,Hubbard,Lucien,,,Am,1928,1929
D,RnH,Hudlin,Reginald,,,Ct,1990,
D,WnH,Hudlin,Warrington,,,Ct,1990,
D,HuH,Hudson,Hugh,,,,1982,1984
D,AbH,Hughes,Albert,1973,,Am,1992,
P,,Hughes,Allen,1973,,Am,1992,
D,BHu,Hughes,Bronwen,,,Ct,1997,
P,HHu,Hughes,Howard,1905,1976,Am,1930,1948
W,IHu,Hughes,John,,,Br,1984,2002
D,KHu,Hughes,Ken,1922,2001,Br,1952,1978
D,THg,Hughes,Terry,,,Ct,1991,
D,AHu,Hui,A.,,,,1983,1990
A,DHu,Huffman,Dustin,,,Am,1999,
D,HBH,Humberstone,H.Bruce,1903,,Am,1932,1983
D,WmH,Humphrey,William,,,Am,1911,
D,AHb,Hunebelle,Andre,,,Fr,1965,
D,TrH,Hung,Tran Anh,19xx,,,1993,1997
A,BHt,Hunt,Bonnie,,,Ct,2000,
E,PHt,Hunt,Peter,1928,,Br,1969,1983
A,RHu,Fuss,Martin,1921,,Am,,
D,THu,Hunter,Tim,,,Am,1980,1987
D,HrH,Huntgeburth,Hermine,19xx,,Ge,1991,
P,,Hurd,Gale Ann,,,Am,1977,1989
D,BDH,Hurst,Brian Desmond,,,Br,1936,1950
D,xHu,Hussein,gn,,,,1948,
D,WHu,Hussein,Waris,1938,,In,1963,1995
D,DH,Huston,Danny,,,Am,1987,
D,IH,Huston,John,1906,1987,,1941,1987
D,BGH,Hutton,Brian G.,,,Am,1969,1983
D,TiH,Hutton,Timothy,,,Am,1998,
D,PHy,Hyams,Peter,1943,,Am,1972,1992
P,,Hyman,Bernard,,,Ct,1934,1938
D,NHy,Hytner,Nicholas,19xx,,Br,1994,1998
C,,Idziak,Slavomir,1945,2004,Po,1969,
B,,Cox,Anthony Berkeley,,,Br,1935,
D,KTI,Im,Kwon-Taek,19xx,,,1993,
D,ShI,Imamura,Shohei,1927,,Ja,1950,1998
D,MaI,Imboden,Markus,,,Ge,1998,
A,RaI,Ince,Ralph,1882,1937,Am,1921,1937
D,ThI,Ince,Thomas H.,1882,1924,Am,1911,1925
A,RxI,Hitchcock,Reginald,1892,1950,Ir,1921,1933
D,OIo,Iosseliani,Otar,19xx,,Ct,1993,
D,DIl,Ireland,Dan,19xx,,Ct,1996,
D,IIq,Iquino,Ignacio F.,19xx,,CC,1985,
A,IIl,Ireland,John,1914,,Ca,1954,
D,IIr,Irvin,John,,,Br,1980,1996
D,DIr,Irving,David,,,Am,1980,1984
D,AII,Isasmendi,Antonio Isasi,,199x,Sp,1964,1986
D,UsI,Ismael,Usmar,,,II,1954,
D,NIs,Israel,Neal,,,Am,1984,
D,JI,Itami,Juzo,1934,,Ja,1984,1989
W,JIv,Ivory,James,1928,,Am,1953,1987
D,DzJ,Jablonski,Dariusz,19xx,19yy,Po,1999,
D,MiJ,Jackson,Mick,,,Br,1990,1993
W,PaJ,Jackson,Patrick,,,GB,1941,1964
D,PeJ,Jackson,Peter,,,Ct,1993,2002
D,WlJ,Jackson,Wilfred,,,Am,1949,
D,AJa,Jacobs,Alan,19xx,,Ct,1995,
D,AJs,Jacobson,Arthur,,,Am,1927,
D,JuJ,Jaeckin,Just,,,Fr,1974,1985
D,BJq,Jacquot,Benoit,,199x,Fr,1990,1995
D,HJ,Jaglom,Henry,1941,,Am,1971,1980
D,JeJ,Jameson,Jerry,,,Am,1972,1980
D,AJd,Jardin,Alexandre,,,Ct,1992,
D,DeJ,Jarman,Derek,,,Am,1978,1994
D,JJm,Jarmusch,Jim,,,Am,1983,1989
D,CJ,Jarrot,Charles,1927,,Br,1962,1982
D,LeJ,Jason,Leigh,1904,1979,Am,1928,1952
D,RJe,Jean,Raymond,,,Fr,1989,
A,LJe,Jeffries,Lionel,1926,,Br,1970,1978
D,TJe,Jeffrey,Tom,,,Am,1979,
D,JPJ,Jenet,Jean-Pierre,,,Fr,2001,
W,TJk,Jenkins,Tamara,,,Ct,1998,
D,HuJ,Jennings,Humphrey,,,Br,1943,
V,,Jessup,Harley,,,Am,1988,
D,AuJ,Jewell,Austen,,,Am,1957,
D,NJ,Jewison,Norman,1926,,Ca,1963,1988
W,,Jhabvala,Ruth Prawer,19xx,,Ge,1965,1993
W,NJi,Jimenez,Neal,,,Am,1992,
D,PhJ,Joanou,Phil,,,,1990,
D,AJy,Jodorowsky,Alexendro,,,Me,1971,
P,,Joffe,Charles R.,19xx,,US,1985,
C,AxJ,Joffe,Alexandre,1918,,Fr,1946,
D,MkJ,Joffe,Mark,19xx,,Fr,1996,1998
D,RoJ,Joffe,Roland,,,Br,1984,1999
D,AlJ,Johnson,Alan,,,,1983,
D,LaJ,Johnson,Lamont,1920,,Am,1967,1983
W,MSJ,Johnson,Mark Steven,19xx,,Am,1998,
D,PRJ,Johnson,Patrick Read,19xx,,Ct,1994,
W,NuJ,Johnson,Nunally,1897,1977,Am,1953,1965
D,JJo,Johnston,Joe,,,Am,1989,1999
W,ArJ,Jones,Art,,,,1983,
W,AJo,Jones,Amy,,,,1983,
D,CJo,Jones,Charles M.,1912,199x,,1940,1990
D,DvJ,Jones,David,,,,1989,1993
D,FRJ,Jones,F.Richard,,,Am,1929,
D,HrJ,Jones,Harmon,1911,1972,Ca,1951,1966
W,KJo,Jones,Kriak,,,Am,1998,
D,LJo,Jones,Lee,,,Am,1973,
D,JCJ,Jones,James Cellan,,,Ct,1973,
M,,Jones,Quincy,,,Am,,
A,LQJ,McQueen,L.E.,1936,,Am,1975,
D,TrJ,Jones,Terry,,,Br,1979,1987
D,SpJ,Couffey,Richard,1969,2004,Am,1991,2005
D,GlJ,Jordan,Glenn,,,Am,1973,1993
W,NeJ,Jordan,Neil,1950,,Ir,1982,1992
D,GJo,Jordon,Glenn,,,Am,1983,
D,RuJ,Julian,Rupert,1886,1943,Am,1923,1930
D,IsJ,Julien,Isaac,1960,,Br,1989,1991
W,,Eastman,Carol,,,Am,1975,
D,JJu,Judge,Joel,19xx,,Ct,1954,
D,MJu,Judge,Mike,19xx,,Ct,1998,
D,GJu,Junger,Gil,19xx,19yy,Ct,1999,
D,CJu,Junghans,Carl,,,Ct,1929,
D,ZJu,Junil,Zheng,,,Ct,1949,
V,NJu,Hertz,Nathan,1907,,Os,1952,1975
D,GoJ,Justiniano,Gonzalo,19xx,,,1985,
C,PJ,Jutzi,Piel,,,Ge,1929,1931
D,GKc,Kaczender,Georges,,,Ca,1973,1983
D,JaK,Kadar,Jan,1918,1979,Cz,1956,1977
D,JPK,Kagan,Jeremy Paul,,,Am,1982,1983
