pname,pcodes/pcode/0,did,yearstart,yeardirstart,yearend,familynm,givennm,dob,dod,background/0,notes/0/ref/0,pcodes/pcode/1,pcodes/pcode/2,rels/0/workedwith/0/colleague/0/name/0,notes/0,notes/0/type/0,notes/0/mainly,pcodes/pcode/3,notes/0/ref/1,notes/0/ref/2,notes/1,error,background/0/bgnote,background/0/__text,rels/0/marriedto/spouse/0/name/0,rels/0/workedwith/0/colleague/0/co-is/0,rels/0/workedwith/0/colleague/0/on,GeF,notes/0/textmore,rels/0/studios/studio/0,pcodes/also/0,notes/0/also/0,pcodes,rels/0/influencedby/0/mentor/0/name/0,rels/0/influencedby/0/mentor/0/co-is/0,rels/0/influencedby/0/mentor/0/in-is,rels/0/founder/0,Gdf,rels/0/marriedto/spouse/0/sp-is/0,rels/0/childof/parentis/0/name/0,rels/0/founder/1,rels/0/studios/studio/1,rels/0/studios/studio/2,rels/0/studios/studio/3,rels/0/studios/studio/4,rels/0/parent/child-is/0/name/0,rels/0/workedwith/0/colleague/0/name/1,rels/0/family/fm/name/0,rels/0/family/fm/fmtype,rels/0/family/fm/fmrel,alias/0,background/1,rels/0/marriedto/spouse/1/name/0,rels/0/siblings/sibling/name/0,rels/0,notes/0/fact,rels/0/influenced/affected/0/name/0,rels/0/influenced/affected/0/co-is/0,rels/0/influenced/affected/0/af-is/0,rels/0/livedwith/lover/0/name/0,rels/0/siblings/sibling/saf-is/0,rels/0/siblings/sibling/saf-is/1,rels/0/marriedto/sp-is/0,rels/0/childof/parentis/0/pa-is,rels/0/marriedto/spouse/0,rels/0/marriedto/spouse/2,notes/0/livedwith/lover/0/name/0,rels/0/parent/child-is/0/ch-is,rels/0/workedwith/0/colleague/0/name/2,rels/0/marriedto/spouse/1/sp-is/0,alias/1,rels/0/marriedto/spouse/1,rels/0/studios/studio/5,rels/0/studios/studio/6,notes/0/livedwith/lover/0/lv-is/0,notes/0/livedwith/lover/0/lv-is/1,rels/0/parent/child-is/0/name/1,rels/0/relnote,rels/0/parent/child-is/0/chnote,rels/0/childof/parentis/1/name/0,rels/0/childof/parentis/1/pa-is,rels/0/marriedto/spouse/0/sp-is/1,pcodes/pcode/4,awards/aw/0/awtype,awards/aw/0/awdet,awards/aw/0/awyear,awards/aw/1/awtype,awards/aw/1/awf,rels/0/parent/child-is/1/name/0,rels/0/parent/child-is/1/ch-is,notes/0/GeF,rels/1/workedwith/0/colleague/0/name/0,notes/0/awards/aw/0/awtype,notes/0/alias/0,awards/aw/0/awnote,rels/0/influenced/__text,notes/0/type/1,awards/aw/0/awf,rels/0/workedwith/0/colleague/0/name/3,rels/0/workedwith/0/colleague/0/name/4,rels/0/studios/studio/0/styear,rels/0/studios/studio/0/__text,rels/0/studios/studio/1/styear,rels/0/studios/studio/1/__text,rels/0/studios/studio/2/styear,rels/0/studios/studio/2/__text,rels/0/workedwith/0/colleague/0/co-is/1,rels/0/workedwith/0/colleague/0/during,rels/0/family/fmtype,rels/0/family/fmrel,rels/0/workedwith/1/colleague/0/name/0,rels/0/livedwith/lover/0/name/1,rels/0/marriedto/spouse/3/name/0,rels/0/marriedto/spouse/4,rels/0/influenced/affected/0/name/1,rels/0/influenced/affected/0/af-is/1,rels/0/influenced/affected/0/colleague/0,rels/0/livedwith/lover/0/lv-is/0,rels/0/marriedto/spouse/0/name/1,notes/0/also/1,rels/0/parent/child-is/0,rels/0/influencedby/0/mentor/1/name/0,rels/0/influencedby/0/mentor/1/in-is,rels/0/founder/0/fnyear,rels/0/founder/0/__text,rels/0/founder/1/fnyear,rels/0/founder/1/__text,rels/1/studios/studio/0,rels/1/studios/studio/1,notes/0/child,notes/1/ref/0,notes/1/ref/1,rels/0/influenced/affected/1/name/0,rels/0/influenced/affected/1/af-is/0,rels/0/influenced/affected/2/name/0,rels/0/influenced/affected/2/af-is/0,rels/0/influenced/affected/3/name/0,rels/0/influenced/affected/3/af-is/0,rels/0/influenced/affected/4/name/0,rels/0/influenced/affected/4/af-is/0,rels/0/influenced/affected/5/name/0,rels/0/influenced/affected/5/af-is/0,rels/0/influenced/affected/6/name/0,rels/0/influenced/affected/6/af-is/0,rels/0/influenced/affected/7/name/0,rels/0/influenced/affected/7/af-is/0,rels/0/workedwith/0/colleague/1/name/0,rels/0/workedwith/0/colleague/1/co-is/0,rels/0/workedwith/0/colleague/2/name/0,rels/0/workedwith/0/colleague/2/co-is/0,rels/1/parent/child-is/0/name/0,rels/1/parent/child-is/0/ch-is,awards/aw/1,awards/awyear,rels/0/siblings/sibling/name/0/sibtype,rels/0/siblings/sibling/name/0/__text,rels/0/childof/parentis/0/name/0/pa-is,rels/0/childof/parentis/0/name/0/__text,rels/0/studios/studio/0/strole,rels/0/marriedto/spouse/2/name/0,rels/0/marriedto/spouse/3,awards/aw/1/awdet,awards/aw/1/awyear,rels/0/marriedto/spouse/2/sp-is/0,rels/0/marriedto/spouse/3/sp-is/0,rels/0/marriedto/spouse/4/name/0,rels/0/family/fm/me-is,rels/0/workedwith/0/colleague/3/name/0,rels/0/workedwith/0/colleague/3/co-is/0,rels/0/workedwith/0/colleague/4/name/0,rels/0/workedwith/0/colleague/4/co-is/0,rels/0/workedwith/0/co-is/0,rels/1/marriedto/spouse/0/name/0,rels/1/marriedto/spouse/1,rels/1/marriedto/spouse/2,pcodes/pcode/5,notes/0/href/A/_HREF,notes/0/href/A/__text,notes/0/livedwith/lover/0,notes/0/livedwith/lover/1/name/0,awards/aw/0/awardnote,rels/0/marriedto/spouse/4/sp-is/0,rels/0/influencedby/1/mentor/0/name/0,rels/0/influencedby/1/mentor/0/co-is/0,rels/0/influencedby/1/mentor/0/in-is,rels/0/siblings/sibling/name/0/parent/child-is/0/name/0
Makmalbaf,D,MMf,,1996,,Makmalbaf,Mohsen,19xx,19yy,,,,,,,,,,,,,,Iranian,\Pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldonado,D,JMd,,1989,,Maldonado,Jose,19xx,\Un,,,,,,,,,,,,,,Chilean,\Cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malick,D,TMa,,1973,1999,Malick,Terence,,\Un,,,P,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malle,D,LMa,,1956,1990,Mall\'e,Louis,1932,\Un,\Fr,,,,Robert Bresson,,"Docu, new wave",,,,,,,,,Candice Bergen,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA,general,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malmouth,D,BMa,,1981,,Malmouth,Bruce,,\Un,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malmros,D,NlM,,1992,,Malmros,Nils,19xx,\Un,\Da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Malraux,D,AMx,,1937,,Malraux,Andr\'e,,,\Fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malone,D,WMa,,1995,,Malone,William,19xx,19yy,\Am,,,,,,Horr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamet,W,DMa,,1987,1988,Mamet,David,,\Un,\Am,![1],D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamoulian,P,RM,,,,Mamoulian,Rouben,1887,1987,\Ru,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hitchcock,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchevski,D,MMa,,1995,,Manchevski,Milcho,19xx,\Un,\Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry~Mancini,M,,1954,,1982,Mancini,Henry,1924,1994,\Am,,,,Blake Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mancuso,P,,1980,,,Mancuso,"Frank,jr.",,\Un,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandel,D,RMa,,1986,,Mandel,Robert,,\Un,\Am,![1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandoki,D,LuM,,1990,1993,Mandoki,Luis,,\Un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangold,D,JMn,,1995,1997,Mangold,James,,1964,\Un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangolte,C,BbM,,1974,1994,Mangolte,Babette,19xx,\Un,\Fr,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Mankiewicz,W,,1955,,1958,Mankiewicz,Don,1922,\Un,\Am,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,H.Mankiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Mankiewicz,W,,1926,,1952,Mankiewicz,Herman J.,1897,1953,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mankiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.L.Mankiewicz,W,JLM,1929,1946,1972,Mankiewicz,Joseph L.,1909,\Un,\Am,,D,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Mankiewicz,W,TmM,,1972,1987,Mankiewicz,Tom,1942,\Un,\Am,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mankiewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey~Mann,W,,1961,,1980,Mann,Abbey,1927,\Un,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ant.Mann,D,AnM,,1942,1968,Bundesmann,Emil,1906,1967,\Am,,,,,,thoughtful Actn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scorsese,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan.Mann,D,DaM,,1952,1981,Mann,Daniel,1912,1991,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del.Man,D,DeM,,1955,1981,Mann,Delbert,1920,\Un,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Mann,W,MM,,1979,1992,Mann,Michael,,\Un,\Am,,D,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Mann,B,,1905,,,Mann,Heinrich,1871,1950,\Ge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Mann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Mann,V,,1930,,1956,Mann,Ned,1893,1967,\Am,,,,Alexander Korda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron.Mann,D,RoM,,1981,,Mann,Ron,1958,\Un,\Ca,,,,,,Documentaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Mann,B,,,,,Mann,Thomas,1875,1955,\Ge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heinrich Mann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,D,AlM,,1965,,March,Alex,,\Un,\Am,,,,Hitchcock,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margheriti,D,AMg,,1962,1964,Margheriti,Antonio,,\Un,\Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolin,D,SMa,,1979,,Margolin,Stuart,,\Un,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mari,A,FbM,,1917,,Mari,Febo,,\Un,\It,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.Marin,D,ELM,,1932,1951,Marin,Edwin L.,1901,1951,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu.Marin,D,EuM,,1972,,Marin,Eugenio,,\Un,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marino,D,GGM,,1993,,Marino,Gustavo Graef,19xx,\Un,\Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marischka,D,EMr,,1955,,Marischka,Ernst,,\Un,\Os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marker,D,CMk,,1952,1982,Bouche-Villeneuve,Christian,1921,\Un,\Fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketaki,D,TMk,,1984,,Marketaki,Tonia,19xx,\Un,\Gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Markey,D,DMk,,1991,,Markey,Dave,,\Un,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Markey,W,,1929,,1947,Markey,Gene,1895,1980,\Am,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.Markle,D,FlM,,1949,1963,Markle,Fletcher,1921,\Un,\Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Markle,D,PeM,,1984,1989,Markle,Peter,,\Un,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markovic,D,GoM,,1993,,Markovi\'c,Goran,,\Un,\Yu goslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markowitz,D,RMw,,1983,1998,Markowitz,Robert,1,\Un,\Ct,,,,,,,,,,,,"(Marowitz?[9], Markovits)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pev~Marley,C,,1935,,1939,Marley,J. Peverell,1901,\Un,\Am,,,,,,,,,,,,,,,Lina Basquette,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Marquand,D,CMq,,1981,,Marquand,Christian,,\Un,\Ct,,A,,,,,,,,,,(19xx),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Marquand,D,RMq,,1981,1985,Marquand,Richard,,\Un,\Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.Marshall,P,FrM,,1990,1995,Marshall,Frank,,\Un,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geo.Marshall,A,GM,,1917,1969,Marshall,George,1891,1975,\Am,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
